time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-210.250.997.509,-240.817.977.526
-210.051.997.504,-241.000.720.885
-209.852.997.498,-241.140.323.167
-209.653.997.493,-241.180.389.778
-209.454.997.487,-241.427.694.378
-209.255.997.482,-24.155.539.897
-209.056.997.476,-240.710.211.642
-20.885.799.747,-239.032.963.883
-208.658.997.465,-239.041.969.257
-208.459.997.459,-230.450.923.278
-208.260.997.454,-226.222.133.369
-208.061.997.448,-225.919.889.207
-207.862.997.443,-225.906.116.156
-207.663.997.437,-225.797.870.269
-207.464.997.432,-22.576.410.738
-207.265.997.426,-22.584.193.246
-207.066.997.421,-225.577.267.704
-206.867.997.415,-2.258.777.322
-20.666.899.741,-225.947.446.629
-206.469.997.404,-225.808.185.334
-206.270.997.399,-225.270.821.139
-206.071.997.393,-225.080.793.082
-205.872.997.388,-22.491.201.409
-205.673.997.382,-224.821.621.066
-205.474.997.377,-22.477.862.816
-205.275.997.371,-224.937.093.795
-205.076.997.366,-22.523.929.983
-20.487.799.736,-225.341.366.712
-204.678.997.355,-22.574.296.936
-204.479.997.349,-225.921.962.494
-204.280.997.343,-227.842.110.489
-204.081.997.338,-228.682.516.814
-203.882.997.332,-229.100.753.282
-203.683.997.327,-24.173.896.274
-203.484.997.321,-241.533.874.902
-203.285.997.316,-241.784.794.687
-20.308.699.731,-242.817.248.286
-202.887.997.305,-244.398.809.304
-202.688.997.299,-245.723.633.125
-202.489.997.294,-248.491.632.434
-202.290.997.288,-261.185.072.157
-202.091.997.283,-261.481.810.848
-201.892.997.277,-26.157.038.004
-201.693.997.272,-262.060.626.227
-201.494.997.266,-262.663.073.537
-201.295.997.261,-26.322.978.753
-201.096.997.255,-270.463.691.775
-20.089.799.725,-263.164.602.218
-200.698.997.244,-274.191.853.372
-200.499.997.239,-275.648.539.944
-200.300.997.233,-264.648.752.234
-200.101.997.227,-26.468.628.261
-199.902.997.222,-282.096.725.597
-199.703.997.216,-277.631.367.768
-199.504.997.211,-278.064.061.103
-199.305.997.205,-278.390.263.146
-1.991.069.972,-278.215.737.096
-198.907.997.194,-278.247.008.585
-198.708.997.189,-278.411.014.696
-198.509.997.183,-278.207.273.531
-198.310.997.178,-278.295.483.222
-198.111.997.172,-278.431.349.801
-197.912.997.167,-278.868.710.621
-197.713.997.161,-279.706.983.043
-197.514.997.156,-283.414.344.785
-19.731.599.715,-284.225.211.137
-197.116.997.145,-29.240.310.806
-196.917.997.139,-291.208.446.562
-196.718.997.134,-290.956.397.107
-196.519.997.128,-286.624.435.692
-196.320.997.123,-277.341.855.748
-196.121.997.117,-269.563.500.555
-195.922.997.111,-276.892.779.705
-195.723.997.106,-276.643.389.191
-1.955.249.971,-276.211.580.157
-195.325.997.095,-27.366.434.933
-195.126.997.089,-274.596.876.001
-194.927.997.084,-270.213.551.167
-194.728.997.078,-263.538.536.744
