time-(ms)-h-i,voltage-near-axon-(microV)-h-i
171.630.013.089,-235.468.003.071
171.829.013.095,-240.733.768.784
1.720.280.131,-240.617.345.093
172.227.013.106,-240.531.070.408
172.426.013.112,-240.834.973.627
172.625.013.117,-241.299.681.945
172.824.013.123,-241.595.764.805
173.023.013.128,-241.998.525.691
173.222.013.134,-241.978.592.151
173.421.013.139,-242.155.263.427
173.620.013.145,-242.081.096.755
17.381.901.315,-242.121.929.166
174.018.013.156,-241.825.212.716
174.217.013.161,-241.073.603.349
174.416.013.167,-240.157.474.131
174.615.013.172,-23.826.215.047
174.814.013.178,-237.038.023.369
175.013.013.183,-237.010.236.548
175.212.013.189,-224.336.559.132
175.411.013.194,-224.568.091.469
1.756.100.132,-224.733.194.939
175.809.013.205,-224.443.051.957
176.008.013.211,-224.175.772.184
176.207.013.216,-223.941.427.516
176.406.013.222,-221.243.169.267
176.605.013.228,-219.625.521.723
176.804.013.233,-22.062.534.395
177.003.013.239,-221.048.831.575
177.202.013.244,-214.240.038.714
17.740.101.325,-218.591.095.468
177.600.013.255,-218.720.408.599
177.799.013.261,-215.257.960.871
177.998.013.266,-208.934.011.293
178.197.013.272,-214.653.423.593
178.396.013.277,-221.223.252.572
178.595.013.283,-224.319.073.669
178.794.013.288,-225.119.994.249
178.993.013.294,-225.947.054.374
179.192.013.299,-228.426.663.145
179.391.013.305,-228.375.663.105
17.959.001.331,-231.741.888.479
179.789.013.316,-238.154.283.729
179.988.013.321,-232.743.595.908
180.187.013.327,-226.145.984.993
180.386.013.332,-226.087.574.787
180.585.013.338,-226.207.045.736
180.784.013.344,-226.170.655.692
180.983.013.349,-226.244.655.083
181.182.013.355,-226.082.214.776
18.138.101.336,-226.028.637.101
181.580.013.366,-225.444.044.384
181.779.013.371,-222.763.910.671
181.978.013.377,-221.209.367.393
182.177.013.382,-221.817.669.688
182.376.013.388,-224.187.218.315
182.575.013.393,-224.306.379.178
182.774.013.399,-224.383.811.105
182.973.013.404,-224.446.477.229
18.317.201.341,-22.450.917.678
183.371.013.415,-224.644.245.901
183.570.013.421,-224.537.285.498
183.769.013.426,-224.394.510.747
183.968.013.432,-2.240.583.171
184.167.013.437,-221.682.805.859
184.366.013.443,-220.663.508.497
184.565.013.448,-220.354.826.546
184.764.013.454,-220.292.701.635
184.963.013.459,-220.210.922.092
185.162.013.465,-220.445.796.905
185.361.013.471,-220.771.680.074
185.560.013.476,-223.006.419.683
185.759.013.482,-221.115.959.797
185.958.013.487,-221.269.579.511
186.157.013.493,-220.730.566.743
186.356.013.498,-220.805.542.469
186.555.013.504,-220.839.086.445
186.754.013.509,-221.205.324.661
186.953.013.515,-22.065.316.776
18.715.201.352,-220.978.135.497
187.351.013.526,-221.601.981.092
187.550.013.531,-224.462.750.451
187.749.013.537,-224.782.875.557
187.948.013.542,-226.470.457.207
188.147.013.548,-22.541.529.517
188.346.013.553,-229.170.021.044
188.545.013.559,-23.163.618.878
188.744.013.564,-228.597.134.382
18.894.301.357,-237.696.525.309
189.142.013.575,-241.883.961.724
189.341.013.581,-241.893.546.422
189.540.013.587,-242.001.804.477
189.739.013.592,-242.438.859.629
189.938.013.598,-242.397.789.982
190.137.013.603,-242.372.066.621
190.336.013.609,-24.241.974.133
190.535.013.614,-242.380.353.044
19.073.401.362,-242.172.538.254
190.933.013.625,-242.061.831.057
191.132.013.631,-242.412.394.832
191.331.013.636,-242.400.126.754
191.530.013.642,-242.288.608.493
191.729.013.647,-242.055.701.045
191.928.013.653,-241.654.738.637
192.127.013.658,-241.427.815.111
192.326.013.664,-241.514.444.302
192.525.013.669,-241.221.134.516
192.724.013.675,-240.884.074.457
19.292.301.368,-240.883.769.485
193.122.013.686,-239.055.428.836
193.321.013.691,-237.742.085.473
193.520.013.697,-237.629.399.694
193.719.013.702,-224.824.809.727
193.918.013.708,-224.646.910.465
194.117.013.714,-224.620.072.311
194.316.013.719,-224.348.357.737
194.515.013.725,-224.041.957.587
19.471.401.373,-223.985.920.414
194.913.013.736,-224.059.242.187
195.112.013.741,-224.311.909.788
195.311.013.747,-224.008.330.339
195.510.013.752,-22.391.445.683
195.709.013.758,-221.078.900.644
195.908.013.763,-220.830.131.338
196.107.013.769,-22.103.004.352
196.306.013.774,-221.166.311.893
19.650.501.378,-221.005.382.422
196.704.013.785,-221.298.396.719
196.903.013.791,-220.656.681.225
197.102.013.796,-218.600.646.084
197.301.013.802,-218.635.025.688
197.500.013.807,-215.323.358.822
197.699.013.813,-209.098.395.503
197.898.013.818,-214.655.302.319
198.097.013.824,-224.152.142.175
19.829.601.383,-224.757.858.068
198.495.013.835,-225.316.005.456
198.694.013.841,-225.509.994.825
198.893.013.846,-227.355.108.884
199.092.013.852,-228.646.608.635
199.291.013.857,-22.983.273.462
199.490.013.863,-241.730.869.819
199.689.013.868,-241.850.951.017
199.888.013.874,-241.954.522.237
200.087.013.879,-241.748.966.387
200.286.013.885,-241.779.031.483
20.048.501.389,-241.719.097.139
200.684.013.896,-242.033.093.103
200.883.013.901,-24.224.029.147
201.082.013.907,-242.014.623.959
201.281.013.912,-241.439.397.294
201.480.013.918,-241.266.161.385
201.679.013.923,-240.727.876.694
201.878.013.929,-24.043.755.415
202.077.013.934,-240.301.317.479
20.227.601.394,-240.139.675.849
202.475.013.946,-240.021.249.869
202.674.013.951,-239.940.595.614
202.873.013.957,-240.029.908.672
203.072.013.962,-239.471.332.109
203.271.013.968,-239.530.674.008
203.470.013.973,-237.613.434.629
203.669.013.979,-237.172.072.728
203.868.013.984,-233.042.665.873
20.406.701.399,-219.917.754.156
204.266.013.995,-217.756.526.698
204.465.014.001,-217.271.012.274
204.664.014.006,-20.769.246.121
204.863.014.012,-20.359.194.673
205.062.014.017,-201.996.862.193
205.261.014.023,-201.578.822.459
205.460.014.028,-192.764.690.726
205.659.014.034,-190.619.134.156
205.858.014.039,-192.176.802.253
206.057.014.045,-192.567.389.851
20.625.601.405,-20.137.583.336
206.455.014.056,-204.565.739.519
206.654.014.061,-20.437.577.167
206.853.014.067,-204.566.312.505
207.052.014.073,-204.918.563.716
207.251.014.078,-205.423.364.488
207.450.014.084,-20.611.086.291
207.649.014.089,-208.093.680.492
207.848.014.095,-208.269.581.557
2.080.470.141,-215.913.941.327
208.246.014.106,-217.562.437.417
208.445.014.111,-217.662.638.105
208.644.014.117,-208.888.242.026
208.843.014.122,-203.862.401.696
209.042.014.128,-20.516.991.686
209.241.014.133,-203.414.035.772
209.440.014.139,-202.080.099.496
209.639.014.144,-205.805.739.543
20.983.801.415,-205.638.365.141
210.037.014.155,-205.399.338.215
210.236.014.161,-20.535.399.402
210.435.014.166,-205.314.685.301
210.634.014.172,-205.651.049.468
210.833.014.177,-205.813.095.961
211.032.014.183,-205.801.186.738
211.231.014.189,-206.217.199.591
211.430.014.194,-206.320.109.884
2.116.290.142,-206.159.929.562
211.828.014.205,-205.888.970.885
212.027.014.211,-206.049.905.734
212.226.014.216,-206.200.236.108
212.425.014.222,-20.579.252.377
212.624.014.227,-205.883.182.517
212.823.014.233,-206.615.609.941
213.022.014.238,-208.991.269.007
213.221.014.244,-210.761.725.055
213.420.014.249,-219.429.721.881
213.619.014.255,-227.915.682.328
21.381.801.426,-226.568.414.097
214.017.014.266,-233.368.855.319
214.216.014.271,-240.544.628.382
214.415.014.277,-228.636.506.253
214.614.014.282,-240.961.150.124
214.813.014.288,-240.963.262.291
215.012.014.293,-241.440.124.792
215.211.014.299,-24.138.064.969
215.410.014.304,-240.838.365.993
21.560.901.431,-240.824.021.062
215.808.014.316,-240.955.342.168
216.007.014.321,-240.774.031.608
216.206.014.327,-240.824.695.687
216.405.014.332,-240.726.139.192
216.604.014.338,-240.711.897.014
216.803.014.343,-240.623.266.427
217.002.014.349,-240.690.659.881
217.201.014.354,-240.821.513.984
21.740.001.436,-238.902.756.645
217.599.014.365,-237.800.486.352
217.798.014.371,-237.592.041.831
217.997.014.376,-225.107.801.328
218.196.014.382,-224.784.222.679
218.395.014.387,-224.854.178.325
218.594.014.393,-224.780.778.132
218.793.014.398,-223.391.874.514
218.992.014.404,-224.170.022.389
219.191.014.409,-225.287.231.769
219.390.014.415,-227.746.397.878
21.958.901.442,-228.292.585.749
219.788.014.426,-233.889.820.659
219.987.014.432,-240.999.767.808
220.186.014.437,-240.983.059.136
220.385.014.443,-240.816.411.368
220.584.014.448,-240.827.481.661
220.783.014.454,-237.670.143.402
220.982.014.459,-230.092.369.956
221.181.014.465,-230.051.069.258
22.138.001.447,-209.444.345.287
221.579.014.476,-205.322.561.851
221.778.014.481,-205.038.128.454
221.977.014.487,-205.109.216.555
222.176.014.492,-204.962.522.289
222.375.014.498,-204.924.400.815
222.574.014.503,-204.945.825.051
222.773.014.509,-205.008.125.346
222.972.014.514,-204.869.108.266
22.317.101.452,-205.075.825.117
223.370.014.525,-205.070.682.604
223.569.014.531,-205.202.206.207
223.768.014.536,-205.140.571.681
223.967.014.542,-205.100.005.444
224.166.014.548,-204.965.194.969
224.365.014.553,-205.081.635.256
224.564.014.559,-205.071.443.939
224.763.014.564,-205.067.951.055
22.496.201.457,-204.952.089.577
225.161.014.575,-205.053.623.418
225.360.014.581,-20.493.328.401
225.559.014.586,-205.036.668.565
225.758.014.592,-204.859.790.006
225.957.014.597,-204.951.873.397
226.156.014.603,-204.808.177.046
226.355.014.608,-204.919.229.356
226.554.014.614,-204.821.038.015
226.753.014.619,-204.909.377.025
226.952.014.625,-204.990.813.625
22.715.101.463,-205.005.496.279
227.350.014.636,-204.904.573.747
227.549.014.641,-205.100.329.013
227.748.014.647,-205.063.808.567
227.947.014.652,-205.262.203.202
228.146.014.658,-205.419.473.378
228.345.014.663,-205.478.782.601
228.544.014.669,-205.605.175.119
228.743.014.675,-205.654.051.716
22.894.201.468,-205.799.152.444
229.141.014.686,-205.879.689.219
229.340.014.691,-205.910.827.737
229.539.014.697,-205.778.314.795
229.738.014.702,-205.804.312.663
229.937.014.708,-205.709.048.671
230.136.014.713,-205.706.800.341
230.335.014.719,-205.653.512.519
230.534.014.724,-205.646.245.249
23.073.301.473,-205.350.973.441
230.932.014.735,-205.348.092.801
231.131.014.741,-20.530.950.898
231.330.014.746,-205.304.169.757
231.529.014.752,-205.032.928.303
231.728.014.757,-205.094.897.603
231.927.014.763,-204.941.336.409
232.126.014.768,-204.898.695.778
232.325.014.774,-204.845.405.431
232.524.014.779,-205.020.035.321
232.723.014.785,-20.490.634.535
232.922.014.791,-204.951.880.559
233.121.014.796,-205.031.383.451
233.320.014.802,-205.203.487.914
233.519.014.807,-205.013.542.319
233.718.014.813,-205.153.931.729
233.917.014.818,-204.990.553.905
234.116.014.824,-205.126.744.975
234.315.014.829,-204.917.694.402
234.514.014.835,-205.116.319.261
23.471.301.484,-204.936.795.032
234.912.014.846,-20.509.712.545
235.111.014.851,-204.904.226.796
235.310.014.857,-205.015.149.675
235.509.014.862,-204.906.580.604
235.708.014.868,-204.962.192.154
235.907.014.873,-204.893.532.185
236.106.014.879,-204.918.280.867
236.305.014.884,-204.941.598.733
23.650.401.489,-204.921.643.329
236.703.014.895,-204.856.282.075
236.902.014.901,-204.968.412.645
237.101.014.907,-204.791.338.368
237.300.014.912,-204.954.137.669
237.499.014.918,-204.997.858.711
237.698.014.923,-205.030.218.592
237.897.014.929,-205.220.334.948
238.096.014.934,-205.246.510.739
23.829.501.494,-205.497.419.124
238.494.014.945,-205.433.310.503
238.693.014.951,-205.601.581.376
238.892.014.956,-205.654.918.153
239.091.014.962,-20.580.261.643
239.290.014.967,-205.798.061.711
239.489.014.973,-205.926.352.521
239.688.014.978,-205.764.260.072
239.887.014.984,-205.808.647.203
240.086.014.989,-205.691.583.014
240.285.014.995,-205.743.927.003
240.484.015,-205.551.080.886
240.683.015.006,-205.561.887.644
240.882.015.011,-205.446.563.987
241.081.015.017,-205.458.069.418
241.280.015.022,-205.283.256.447
241.479.015.028,-205.264.944.397
241.678.015.034,-20.514.565.709
241.877.015.039,-205.120.015.779
242.076.015.045,-204.900.251.491
24.227.501.505,-204.930.987.225
242.474.015.056,-204.893.364.494
242.673.015.061,-204.867.972.601
242.872.015.067,-204.988.782.509
243.071.015.072,-204.973.249.593
243.270.015.078,-205.118.017.051
243.469.015.083,-205.101.682.791
243.668.015.089,-204.998.797.708
243.867.015.094,-205.104.526.493
2.440.660.151,-20.499.716.608
244.265.015.105,-205.090.719.049
244.464.015.111,-204.906.699.833
244.663.015.116,-205.079.787.494
244.862.015.122,-204.955.460.033
245.061.015.127,-204.922.463.155
245.260.015.133,-204.897.737.528
245.459.015.138,-205.036.011.223
245.658.015.144,-204.781.459.925
24.585.701.515,-204.975.674.698
246.056.015.155,-204.809.232.568
246.255.015.161,-204.904.512.527
246.454.015.166,-204.796.408.408
246.653.015.172,-204.928.921.611
246.852.015.177,-20.484.808.077
247.051.015.183,-205.031.044.658
247.250.015.188,-205.033.519.649
247.449.015.194,-20.502.312.433
247.648.015.199,-205.076.381.834
247.847.015.205,-205.324.526.998
24.804.601.521,-205.356.120.842
248.245.015.216,-205.432.813.699
248.444.015.221,-205.638.840.151
248.643.015.227,-205.710.510.193
248.842.015.232,-205.786.339.827
249.041.015.238,-205.867.223.819
249.240.015.243,-205.782.188.277
249.439.015.249,-205.907.285.054
249.638.015.254,-205.832.717.215
24.983.701.526,-205.761.260.975
250.036.015.265,-205.704.476.643
250.235.015.271,-205.588.853.789
250.434.015.277,-205.538.224.475
250.633.015.282,-205.397.600.391
250.832.015.288,-205.474.725.239
251.031.015.293,-205.151.598.261
251.230.015.299,-205.329.126.223
251.429.015.304,-205.095.443.436
25.162.801.531,-205.190.978.202
251.827.015.315,-20.480.484.906
252.026.015.321,-204.971.645.467
252.225.015.326,-204.827.477.703
252.424.015.332,-205.022.455.828
252.623.015.337,-204.941.285.298
252.822.015.343,-205.191.328.946
253.021.015.348,-204.989.760.414
253.220.015.354,-205.251.513.801
253.419.015.359,-205.106.717.616
253.618.015.365,-205.184.467.611
25.381.701.537,-20.506.653.184
254.016.015.376,-205.099.257.625
254.215.015.381,-20.505.799.723
254.414.015.387,-205.196.345.604
254.613.015.393,-205.070.174.212
254.812.015.398,-205.045.911.836
255.011.015.404,-204.892.893.643
255.210.015.409,-205.124.699.621
255.409.015.415,-204.911.770.796
25.560.801.542,-205.071.000.645
255.807.015.426,-205.009.563.877
256.006.015.431,-204.868.722.515
256.205.015.437,-204.853.192.116
256.404.015.442,-204.852.913.562
256.603.015.448,-204.841.809.248
256.802.015.453,-204.913.910.556
257.001.015.459,-204.897.354.022
257.200.015.464,-20.503.365.599
25.739.901.547,-20.510.701.425
257.598.015.475,-20.506.395.727
257.797.015.481,-205.152.346.859
257.996.015.486,-205.335.201.367
258.195.015.492,-205.452.811.212
258.394.015.497,-205.510.455.262
258.593.015.503,-205.627.021.438
258.792.015.509,-205.691.279.463
258.991.015.514,-205.755.636.553
25.919.001.552,-205.814.106.997
259.389.015.525,-20.593.010.918
259.588.015.531,-205.768.537.688
259.787.015.536,-205.752.405.943
259.986.015.542,-20.565.235.718
260.185.015.547,-205.728.471.095
260.384.015.553,-205.552.843.411
260.583.015.558,-205.554.495.411
260.782.015.564,-205.366.247.284
260.981.015.569,-205.496.340.574
261.180.015.575,-205.173.005.296
26.137.901.558,-205.222.010.525
261.578.015.586,-205.077.523.016
261.777.015.591,-205.040.862.326
261.976.015.597,-20.488.321.654
262.175.015.602,-204.950.925.776
262.374.015.608,-204.833.178.221
262.573.015.613,-204.963.875.723
262.772.015.619,-204.928.783.087
262.971.015.624,-205.080.081.518
26.317.001.563,-205.064.619.156
263.369.015.636,-205.114.610.499
263.568.015.641,-205.134.666.794
263.767.015.647,-205.144.624.627
263.966.015.652,-205.088.339.338
264.165.015.658,-205.040.796.031
264.364.015.663,-205.104.379.451
264.563.015.669,-205.017.606.669
264.762.015.674,-20.496.024.203
26.496.101.568,-205.047.689.588
265.160.015.685,-204.923.518.541
265.359.015.691,-204.974.975.576
265.558.015.696,-20.480.721.497
265.757.015.702,-204.931.989.271
265.956.015.707,-20.493.527.661
266.155.015.713,-204.902.581.153
266.354.015.718,-204.899.172.863
266.553.015.724,-204.836.642.699
266.752.015.729,-204.857.599.192
266.951.015.735,-204.907.176.727
26.715.001.574,-204.908.883.052
267.349.015.746,-205.147.460.807
267.548.015.752,-205.112.704.387
267.747.015.757,-205.293.565.201
267.946.015.763,-205.315.933.245
268.145.015.768,-205.483.087.458
268.344.015.774,-205.576.197.021
268.543.015.779,-205.766.961.074
268.742.015.785,-20.578.413.729
26.894.101.579,-205.927.098.242
269.140.015.796,-205.950.042.553
269.339.015.801,-205.892.862.779
269.538.015.807,-205.809.891.618
269.737.015.812,-205.722.623.205
269.936.015.818,-205.644.801.006
270.135.015.823,-205.638.103.805
270.334.015.829,-205.552.997.034
270.533.015.834,-205.353.972.511
27.073.201.584,-205.430.283.488
270.931.015.845,-205.224.922.063
271.130.015.851,-205.194.188.212
271.329.015.856,-205.052.698.926
271.528.015.862,-205.004.827.429
271.727.015.868,-204.856.474.164
271.926.015.873,-204.888.089.047
272.125.015.879,-204.891.392.031
272.324.015.884,-204.917.595.032
27.252.301.589,-204.887.919.959
272.722.015.895,-205.133.011.084
272.921.015.901,-205.088.537
273.120.015.906,-20.520.110.104
273.319.015.912,-205.129.260.476
273.518.015.917,-205.206.053.805
273.717.015.923,-205.025.039.312
273.916.015.928,-205.211.668.072
274.115.015.934,-205.035.327.365
274.314.015.939,-205.136.814.614
274.513.015.945,-204.949.435.147
27.471.201.595,-205.075.359.433
274.911.015.956,-204.925.944.973
275.110.015.961,-204.954.836.195
275.309.015.967,-204.878.837.435
275.508.015.972,-205.042.589.737
275.707.015.978,-204.920.929.887
275.906.015.983,-20.496.544.044
276.105.015.989,-204.899.026.681
276.304.015.995,-204.836.687.144
276.503.016,-204.910.850.851
276.702.016.006,-204.998.774.264
276.901.016.011,-204.968.447.671
277.100.016.017,-204.986.830.144
277.299.016.022,-204.957.994.645
277.498.016.028,-205.185.333.255
277.697.016.033,-205.169.790.917
277.896.016.039,-205.380.200.282
278.095.016.044,-205.429.523.973
27.829.401.605,-205.549.433.193
278.493.016.055,-20.558.303.325
278.692.016.061,-205.809.663.335
278.891.016.066,-205.756.999.302
279.090.016.072,-20.579.726.405
279.289.016.077,-205.916.159.789
279.488.016.083,-205.848.375.064
279.687.016.088,-205.809.674.932
279.886.016.094,-205.715.510.751
280.085.016.099,-205.643.816.451
280.284.016.105,-205.607.449.251
280.483.016.111,-205.609.543.597
280.682.016.116,-20.546.699.422
280.881.016.122,-20.542.054.917
281.080.016.127,-205.310.251.986
281.279.016.133,-205.200.149.516
281.478.016.138,-205.104.447.101
281.677.016.144,-205.026.015.188
281.876.016.149,-204.887.359.286
282.075.016.155,-20.486.944.736
28.227.401.616,-204.876.734.155
282.473.016.166,-20.503.010.582
282.672.016.171,-204.977.241.397
282.871.016.177,-20.509.938.223
283.070.016.182,-204.975.487.031
283.269.016.188,-205.154.707.732
283.468.016.193,-205.122.128.622
283.667.016.199,-205.140.124.899
283.866.016.204,-205.052.034.868
28.406.501.621,-205.043.259.331
284.264.016.215,-20.482.153.924
284.463.016.221,-205.083.829.415
284.662.016.226,-204.948.831.177
284.861.016.232,-20.511.811.241
285.060.016.238,-204.901.081.556
285.259.016.243,-204.964.955.212
285.458.016.249,-204.960.314.129
285.657.016.254,-204.931.109.165
28.585.601.626,-204.902.807.801
286.055.016.265,-204.896.861.296
286.254.016.271,-204.859.412.867
286.453.016.276,-20.503.648.106
286.652.016.282,-20.497.986.349
286.851.016.287,-204.973.703.733
287.050.016.293,-205.061.327.137
287.249.016.298,-204.977.347.178
287.448.016.304,-205.100.946.511
287.647.016.309,-205.243.872.793
287.846.016.315,-205.380.980.477
28.804.501.632,-20.549.830.975
288.244.016.326,-205.680.271.206
288.443.016.331,-205.730.130.749
288.642.016.337,-205.836.924.015
288.841.016.342,-205.897.484.452
289.040.016.348,-205.838.213.389
289.239.016.354,-205.858.521.462
289.438.016.359,-205.805.796.812
289.637.016.365,-205.718.907.012
28.983.601.637,-205.666.895.279
290.035.016.376,-205.668.705.103
290.234.016.381,-205.488.753.412
290.433.016.387,-205.525.541.718
290.632.016.392,-205.386.187.156
290.831.016.398,-205.329.171.113
291.030.016.403,-205.202.494.685
291.229.016.409,-205.052.070.137
291.428.016.414,-205.038.173.859
29.162.701.642,-204.938.153.544
291.826.016.425,-204.941.312.149
292.025.016.431,-204.866.126.963
292.224.016.436,-20.492.499.287
292.423.016.442,-204.975.890.109
292.622.016.447,-205.035.760.454
292.821.016.453,-205.098.448.109
293.020.016.458,-205.118.019.798
293.219.016.464,-205.090.033.733
29.341.801.647,-205.080.985.537
293.617.016.475,-205.203.093.693
293.816.016.481,-204.962.974.442
294.015.016.486,-205.055.811.833
294.214.016.492,-205.058.211.385
294.413.016.497,-205.077.038.755
294.612.016.503,-205.047.158.333
294.811.016.508,-204.940.596.303
295.010.016.514,-204.985.135.972
295.209.016.519,-204.970.238.685
295.408.016.525,-20.501.409.909
29.560.701.653,-204.853.409.084
295.806.016.536,-20.490.354.132
296.005.016.541,-204.883.718.533
296.204.016.547,-204.992.886.099
296.403.016.552,-204.829.035.419
296.602.016.558,-204.894.577.414
296.801.016.563,-20.494.784.517
297.000.016.569,-204.974.836.626
297.199.016.574,-204.924.194.152
29.739.801.658,-205.027.107.902
297.597.016.585,-205.188.114
297.796.016.591,-205.367.760.728
297.995.016.597,-205.229.682.873
298.194.016.602,-205.520.246.719
298.393.016.608,-205.488.810.432
298.592.016.613,-20.569.690.476
298.791.016.619,-20.582.461.575
298.990.016.624,-205.880.432.243
29.918.901.663,-205.825.177.526
299.388.016.635,-206.012.536.282
299.587.016.641,-205.751.240.726
299.786.016.646,-205.762.680.803
