V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,197.301.013.802,-218.635.025.688,115.012.999.411,680.483.195.675
,,,,,,,,197.500.013.807,-215.323.358.822,115.179.666.078,680.130.485.228
,,,,,,,,197.699.013.813,-209.098.395.503,115.346.332.744,679.800.677.618
,,,,,,,,197.898.013.818,-214.655.302.319,115.512.999.411,679.496.495.745
,,,,,,,,198.097.013.824,-224.152.142.175,115.679.666.078,679.220.491.788
,,,,,,,,19.829.601.383,-224.757.858.068,115.846.332.744,678.975.025.606
,,,,,,,,198.495.013.835,-225.316.005.456,116.012.999.411,678.762.244.111
,,,,,,,,198.694.013.841,-225.509.994.825,116.179.666.078,678.584.061.848
,,,,,,,,198.893.013.846,-227.355.108.884,116.346.332.744,678.442.143.057
,,,,,,,,199.092.013.852,-228.646.608.635,116.512.999.411,67.833.788.547
,,,,,,,,199.291.013.857,-22.983.273.462,116.679.666.078,678.272.406.087
,,,,,,,,199.490.013.863,-241.730.869.819,116.846.332.744,678.246.529.192
,,,,,,,,199.689.013.868,-241.850.951.017,117.012.999.411,678.260.776.796
,,,,,,,,199.888.013.874,-241.954.522.237,117.179.666.078,678.315.361.733
,,,,,,,,200.087.013.879,-241.748.966.387,117.346.332.744,678.410.183.554
,,,,,,,,200.286.013.885,-241.779.031.483,117.512.999.411,678.544.827.362
,,,,,,,,20.048.501.389,-241.719.097.139,117.679.666.078,67.871.856.567
,,,,,,,,200.684.013.896,-242.033.093.103,117.846.332.744,678.930.363.343
,,,,,,,,200.883.013.901,-24.224.029.147,118.012.999.411,679.178.885.611
,,,,,,,,201.082.013.907,-242.014.623.959,118.179.666.078,679.462.509.132
,,,,,,,,201.281.013.912,-241.439.397.294,118.346.332.744,679.779.335.991
,,,,,,,,201.480.013.918,-241.266.161.385,118.512.999.411,680.127.210.523
,,,,,,,,201.679.013.923,-240.727.876.694,118.679.666.078,680.503.738.746
,,,,,,,,201.878.013.929,-24.043.755.415,118.846.332.744,680.906.310.217
,,,,,,,,202.077.013.934,-240.301.317.479,119.012.999.411,681.332.122.004
,,,,,,,,20.227.601.394,-240.139.675.849,119.179.666.078,681.778.204.516
,,,,,,,,202.475.013.946,-240.021.249.869,119.346.332.744,682.241.448.821
,,,,,,,,202.674.013.951,-239.940.595.614,119.512.999.411,682.718.635.141
,,,,,,,,202.873.013.957,-240.029.908.672,119.679.666.078,683.206.462.123
,,,,,,,,203.072.013.962,-239.471.332.109,119.846.332.744,683.701.576.526
,,,,,,,,203.271.013.968,-239.530.674.008,120.012.999.411,684.200.602.939
,,,,,,,,203.470.013.973,-237.613.434.629,120.179.666.078,684.700.173.155
,,,,,,,,203.669.013.979,-237.172.072.728,120.346.332.744,685.196.954.847
,,,,,,,,203.868.013.984,-233.042.665.873,120.512.999.411,685.687.679.187
,,,,,,,,20.406.701.399,-219.917.754.156,120.679.666.078,686.169.167.105
,,,,,,,,204.266.013.995,-217.756.526.698,120.846.332.744,686.638.353.905
,,,,,,,,204.465.014.001,-217.271.012.274,121.012.999.411,68.709.231.197
,,,,,,,,204.664.014.006,-20.769.246.121,121.179.666.078,687.528.271.367
,,,,,,,,204.863.014.012,-20.359.194.673,121.346.332.744,687.943.638.173
,,,,,,,,205.062.014.017,-201.996.862.193,121.512.999.411,688.336.010.412
,,,,,,,,205.261.014.023,-201.578.822.459,121.679.666.078,688.703.191.513
,,,,,,,,205.460.014.028,-192.764.690.726,121.846.332.744,689.043.201.276
,,,,,,,,205.659.014.034,-190.619.134.156,122.012.999.411,689.354.284.349
,,,,,,,,205.858.014.039,-192.176.802.253,122.179.666.078,689.634.916.274
,,,,,,,,206.057.014.045,-192.567.389.851,122.346.332.744,689.883.807.204
,,,,,,,,20.625.601.405,-20.137.583.336,122.512.999.411,690.099.903.406
,,,,,,,,206.455.014.056,-204.565.739.519,122.679.666.078,690.282.386.716
,,,,,,,,206.654.014.061,-20.437.577.167,122.846.332.744,690.430.672.124
,,,,,,,,206.853.014.067,-204.566.312.505,123.012.999.411,690.544.403.678
,,,,,,,,207.052.014.073,-204.918.563.716,123.179.666.078,690.623.448.932
,,,,,,,,207.251.014.078,-205.423.364.488,123.346.332.744,69.066.789.212
,,,,,,,,207.450.014.084,-20.611.086.291,123.512.999.411,690.678.026.304
,,,,,,,,207.649.014.089,-208.093.680.492,123.679.666.078,690.654.344.658
,,,,,,,,207.848.014.095,-208.269.581.557,123.846.332.744,690.597.531.112
,,,,,,,,2.080.470.141,-215.913.941.327,124.012.999.411,690.508.450.501
,,,,,,,,208.246.014.106,-217.562.437.417,124.179.666.078,69.038.813.839
,,,,,,,,208.445.014.111,-217.662.638.105,124.346.332.744,690.237.790.679
,,,,,,,,208.644.014.117,-208.888.242.026,124.512.999.411,690.058.753.105
,,,,,,,,208.843.014.122,-203.862.401.696,124.679.666.078,689.852.510.698
,,,,,,,,209.042.014.128,-20.516.991.686,124.846.332.744,689.620.677.245
,,,,,,,,209.241.014.133,-203.414.035.772,125.012.999.411,689.364.984.756
,,,,,,,,209.440.014.139,-202.080.099.496,125.179.666.078,689.087.272.955
,,,,,,,,209.639.014.144,-205.805.739.543,125.346.332.744,688.789.478.732
,,,,,,,,20.983.801.415,-205.638.365.141,125.512.999.411,688.473.625.523
,,,,,,,,210.037.014.155,-205.399.338.215,125.679.666.078,688.141.812.555
,,,,,,,,210.236.014.161,-20.535.399.402,125.846.332.744,687.796.203.871
,,,,,,,,210.435.014.166,-205.314.685.301,126.012.999.411,687.439.017.075
,,,,,,,,210.634.014.172,-205.651.049.468,126.179.666.078,687.072.511.702
,,,,,,,,210.833.014.177,-205.813.095.961,126.346.332.744,68.669.897.717
,,,,,,,,211.032.014.183,-205.801.186.738,126.512.999.411,686.320.720.239
,,,,,,,,211.231.014.189,-206.217.199.591,126.679.666.078,685.940.051.947
,,,,,,,,211.430.014.194,-206.320.109.884,126.846.332.744,685.559.274.021
,,,,,,,,2.116.290.142,-206.159.929.562,127.012.999.411,68.518.066.475
,,,,,,,,211.828.014.205,-205.888.970.885,127.179.666.078,684.806.464.389
,,,,,,,,212.027.014.211,-206.049.905.734,127.346.332.744,684.438.860.139
,,,,,,,,212.226.014.216,-206.200.236.108,127.512.999.411,684.079.970.827
,,,,,,,,212.425.014.222,-20.579.252.377,127.679.666.078,683.731.831.407
,,,,,,,,212.624.014.227,-205.883.182.517,127.846.332.744,68.339.637.745
,,,,,,,,212.823.014.233,-206.615.609.941,128.012.999.411,683.075.429.819
,,,,,,,,213.022.014.238,-208.991.269.007,128.179.666.078,682.770.679.736
,,,,,,,,213.221.014.244,-210.761.725.055,128.346.332.744,682.483.674.476
,,,,,,,,213.420.014.249,-219.429.721.881,128.512.999.411,68.221.580.395
,,,,,,,,213.619.014.255,-227.915.682.328,128.679.666.078,681.968.288.411
,,,,,,,,21.381.801.426,-226.568.414.097,128.846.332.744,681.742.167.549
,,,,,,,,214.017.014.266,-233.368.855.319,129.012.999.411,68.153.829.123
,,,,,,,,214.216.014.271,-240.544.628.382,129.179.666.078,681.357.312.104
,,,,,,,,214.415.014.277,-228.636.506.253,129.346.332.744,681.199.680.303
,,,,,,,,214.614.014.282,-240.961.150.124,129.512.999.411,681.065.640.405
,,,,,,,,214.813.014.288,-240.963.262.291,129.679.666.078,680.955.230.838
,,,,,,,,215.012.014.293,-241.440.124.792,129.846.332.744,680.868.285.799
,,,,,,,,215.211.014.299,-24.138.064.969,130.012.999.411,680.804.439.792
,,,,,,,,215.410.014.304,-240.838.365.993,130.179.666.078,680.763.134.774
,,,,,,,,21.560.901.431,-240.824.021.062,130.346.332.744,680.743.629.884
,,,,,,,,215.808.014.316,-240.955.342.168,130.512.999.411,680.745.013.665
,,,,,,,,216.007.014.321,-240.774.031.608,130.679.666.078,680.766.218.634
,,,,,,,,216.206.014.327,-240.824.695.687,130.846.332.744,680.806.038.015
,,,,,,,,216.405.014.332,-240.726.139.192,131.012.999.411,680.863.144.379
,,,,,,,,216.604.014.338,-240.711.897.014,131.179.666.078,680.936.109.906
,,,,,,,,216.803.014.343,-240.623.266.427,131.346.332.744,681.023.427.957
,,,,,,,,217.002.014.349,-240.690.659.881,131.512.999.411,681.123.535.572
,,,,,,,,217.201.014.354,-240.821.513.984,131.679.666.078,681.234.836.525
,,,,,,,,21.740.001.436,-238.902.756.645,131.846.332.744,681.355.724.525
,,,,,,,,217.599.014.365,-237.800.486.352,132.012.999.411,681.484.606.163
,,,,,,,,217.798.014.371,-237.592.041.831,132.179.666.078,681.619.923.173
,,,,,,,,217.997.014.376,-225.107.801.328,132.346.332.744,681.760.173.637
,,,,,,,,218.196.014.382,-224.784.222.679,132.512.999.411,681.903.931.722
,,,,,,,,218.395.014.387,-224.854.178.325,132.679.666.078,682.049.865.624
,,,,,,,,218.594.014.393,-224.780.778.132,132.846.332.744,682.196.753.382
,,,,,,,,218.793.014.398,-223.391.874.514,133.012.999.411,6.823.434.963
,,,,,,,,218.992.014.404,-224.170.022.389,133.179.666.078,682.489.129.746
,,,,,,,,219.191.014.409,-225.287.231.769,133.346.332.744,68.263.283.116
,,,,,,,,219.390.014.415,-227.746.397.878,133.512.999.411,682.773.925.167
,,,,,,,,21.958.901.442,-228.292.585.749,133.679.666.078,682.911.885.721
,,,,,,,,219.788.014.426,-233.889.820.659,133.846.332.744,683.046.335.318
,,,,,,,,219.987.014.432,-240.999.767.808,134.012.999.411,683.177.041.314
,,,,,,,,220.186.014.437,-240.983.059.136,134.179.666.078,683.303.909.505
,,,,,,,,220.385.014.443,-240.816.411.368,134.346.332.744,683.426.975.125
,,,,,,,,220.584.014.448,-240.827.481.661,134.512.999.411,683.546.391.499
,,,,,,,,220.783.014.454,-237.670.143.402,134.679.666.078,683.662.416.634
,,,,,,,,220.982.014.459,-230.092.369.956,134.846.332.744,683.775.398.044
,,,,,,,,221.181.014.465,-230.051.069.258,135.012.999.411,683.885.756.147
,,,,,,,,22.138.001.447,-209.444.345.287,135.179.666.078,683.993.966.615
,,,,,,,,221.579.014.476,-205.322.561.851,135.346.332.744,684.100.542.019
,,,,,,,,221.778.014.481,-205.038.128.454,135.512.999.411,684.206.013.172
,,,,,,,,221.977.014.487,-205.109.216.555,135.679.666.078,684.310.910.535
,,,,,,,,222.176.014.492,-204.962.522.289,135.846.332.744,684.415.746.043
,,,,,,,,222.375.014.498,-204.924.400.815,136.012.999.411,684.520.995.705
,,,,,,,,222.574.014.503,-204.945.825.051,136.179.666.078,684.627.083.288
,,,,,,,,222.773.014.509,-205.008.125.346,136.346.332.744,684.734.365.382
,,,,,,,,222.972.014.514,-204.869.108.266,136.512.999.411,684.843.118.083
,,,,,,,,22.317.101.452,-205.075.825.117,136.679.666.078,684.953.525.527
,,,,,,,,223.370.014.525,-205.070.682.604,136.846.332.744,685.065.670.417
,,,,,,,,223.569.014.531,-205.202.206.207,137.012.999.411,685.179.526.701
,,,,,,,,223.768.014.536,-205.140.571.681,137.179.666.078,685.294.954.456
,,,,,,,,223.967.014.542,-205.100.005.444,137.346.332.744,685.411.697.027
,,,,,,,,224.166.014.548,-204.965.194.969,137.512.999.411,68.552.938.042
,,,,,,,,224.365.014.553,-205.081.635.256,137.679.666.078,685.647.514.894
,,,,,,,,224.564.014.559,-205.071.443.939,137.846.332.744,685.765.498.678
,,,,,,,,224.763.014.564,-205.067.951.055,138.012.999.411,685.882.623.692
,,,,,,,,22.496.201.457,-204.952.089.577,138.179.666.078,685.998.083.126
,,,,,,,,225.161.014.575,-205.053.623.418,138.346.332.744,686.110.980.716
,,,,,,,,225.360.014.581,-20.493.328.401,138.512.999.411,686.220.341.507
,,,,,,,,225.559.014.586,-205.036.668.565,138.679.666.078,686.325.123.909
,,,,,,,,225.758.014.592,-204.859.790.006,138.846.332.744,686.424.232.824
,,,,,,,,225.957.014.597,-204.951.873.397,139.012.999.411,686.516.533.611
,,,,,,,,226.156.014.603,-204.808.177.046,139.179.666.078,68.660.086.666
,,,,,,,,226.355.014.608,-204.919.229.356,139.346.332.744,686.676.062.356
,,,,,,,,226.554.014.614,-204.821.038.015,139.512.999.411,686.740.956.186
,,,,,,,,226.753.014.619,-204.909.377.025,139.679.666.078,686.794.403.785
,,,,,,,,226.952.014.625,-204.990.813.625,139.846.332.744,686.835.295.716
,,,,,,,,22.715.101.463,-205.005.496.279,140.012.999.411,686.862.571.762
,,,,,,,,227.350.014.636,-204.904.573.747,140.179.666.078,686.875.234.577
,,,,,,,,227.549.014.641,-205.100.329.013,140.346.332.744,686.872.362.505
,,,,,,,,227.748.014.647,-205.063.808.567,140.512.999.411,686.853.121.419
,,,,,,,,227.947.014.652,-205.262.203.202,140.679.666.078,686.816.775.446
,,,,,,,,228.146.014.658,-205.419.473.378,140.846.332.744,686.762.696.468
,,,,,,,,228.345.014.663,-205.478.782.601,141.012.999.411,68.669.037.228
,,,,,,,,228.544.014.669,-205.605.175.119,141.179.666.078,686.599.413.339
,,,,,,,,228.743.014.675,-205.654.051.716,141.346.332.744,686.489.558.032
,,,,,,,,22.894.201.468,-205.799.152.444,141.512.999.411,686.360.676.426
,,,,,,,,229.141.014.686,-205.879.689.219,141.679.666.078,686.212.772.465
,,,,,,,,229.340.014.691,-205.910.827.737,141.846.332.744,686.045.984.609
,,,,,,,,229.539.014.697,-205.778.314.795,142.012.999.411,685.860.584.931
,,,,,,,,229.738.014.702,-205.804.312.663,142.179.666.078,685.656.976.684
,,,,,,,,229.937.014.708,-205.709.048.671,142.346.332.744,685.435.690.412
,,,,,,,,230.136.014.713,-205.706.800.341,142.512.999.411,685.197.378.632
,,,,,,,,230.335.014.719,-205.653.512.519,142.679.666.078,684.942.809.203
,,,,,,,,230.534.014.724,-205.646.245.249,142.846.332.744,684.672.857.456
,,,,,,,,23.073.301.473,-205.350.973.441,143.012.999.411,684.388.497.199
,,,,,,,,230.932.014.735,-205.348.092.801,143.179.666.078,684.090.790.738
,,,,,,,,231.131.014.741,-20.530.950.898,143.346.332.744,683.780.878.037
,,,,,,,,231.330.014.746,-205.304.169.757,143.512.999.411,683.459.965.176
,,,,,,,,231.529.014.752,-205.032.928.303,143.679.666.078,683.129.312.262
,,,,,,,,231.728.014.757,-205.094.897.603,143.846.332.744,682.790.220.977
,,,,,,,,231.927.014.763,-204.941.336.409,144.012.999.411,68.244.402.191
,,,,,,,,232.126.014.768,-204.898.695.778,144.179.666.078,682.092.061.869
,,,,,,,,232.325.014.774,-204.845.405.431,144.346.332.744,681.735.691.353
,,,,,,,,232.524.014.779,-205.020.035.321,144.512.999.411,681.376.252.328
,,,,,,,,232.723.014.785,-20.490.634.535,144.679.666.078,681.015.066.512
,,,,,,,,232.922.014.791,-204.951.880.559,144.846.332.744,680.653.424.298
,,,,,,,,233.121.014.796,-205.031.383.451,145.012.999.411,680.292.574.473
,,,,,,,,233.320.014.802,-205.203.487.914,145.179.666.078,679.933.714.872
,,,,,,,,233.519.014.807,-205.013.542.319,145.346.332.744,679.577.984.063
,,,,,,,,233.718.014.813,-205.153.931.729,145.512.999.411,679.226.454.176
,,,,,,,,233.917.014.818,-204.990.553.905,145.679.666.078,678.880.124.941
,,,,,,,,234.116.014.824,-205.126.744.975,145.846.332.744,67.853.991.899
,,,,,,,,234.315.014.829,-204.917.694.402,146.012.999.411,67.820.667.845
,,,,,,,,234.514.014.835,-205.116.319.261,146.179.666.078,677.881.162.821
,,,,,,,,23.471.301.484,-204.936.795.032,146.346.332.744,677.564.048.137
,,,,,,,,234.912.014.846,-20.509.712.545,146.512.999.411,677.255.927.348
,,,,,,,,235.111.014.851,-204.904.226.796,146.679.666.078,676.957.311.854
,,,,,,,,235.310.014.857,-205.015.149.675,146.846.332.744,676.668.634.119
,,,,,,,,235.509.014.862,-204.906.580.604,147.012.999.411,676.390.251.235
,,,,,,,,235.708.014.868,-204.962.192.154,147.179.666.078,676.122.449.329
,,,,,,,,235.907.014.873,-204.893.532.185,147.346.332.744,675.865.448.658
,,,,,,,,236.106.014.879,-204.918.280.867,147.512.999.411,675.619.409.255
,,,,,,,,236.305.014.884,-204.941.598.733,147.679.666.078,675.384.436.963
,,,,,,,,23.650.401.489,-204.921.643.329,147.846.332.744,6.751.605.897
,,,,,,,,236.703.014.895,-204.856.282.075,148.012.999.411,674.947.883.784
,,,,,,,,236.902.014.901,-204.968.412.645,148.179.666.078,674.746.300.184
,,,,,,,,237.101.014.907,-204.791.338.368,148.346.332.744,674.555.790.513
,,,,,,,,237.300.014.912,-204.954.137.669,148.512.999.411,674.376.282.657
,,,,,,,,237.499.014.918,-204.997.858.711,148.679.666.078,674.207.685.888
,,,,,,,,237.698.014.923,-205.030.218.592,148.846.332.744,674.049.895.364
,,,,,,,,237.897.014.929,-205.220.334.948,149.012.999.411,673.902.795.909
,,,,,,,,238.096.014.934,-205.246.510.739,149.179.666.078,673.766.265.017
,,,,,,,,23.829.501.494,-205.497.419.124,149.346.332.744,67.364.017.501
,,,,,,,,238.494.014.945,-205.433.310.503,149.512.999.411,673.524.394.327
,,,,,,,,238.693.014.951,-205.601.581.376,149.679.666.078,673.418.787.935
,,,,,,,,238.892.014.956,-205.654.918.153,149.846.332.744,673.323.216.871
,,,,,,,,239.091.014.962,-20.580.261.643,150.012.999.411,673.237.536.962
,,,,,,,,239.290.014.967,-205.798.061.711,150.179.666.078,67.316.159.676
,,,,,,,,239.489.014.973,-205.926.352.521,150.346.332.744,673.095.234.788
,,,,,,,,239.688.014.978,-205.764.260.072,150.512.999.411,673.038.276.171
,,,,,,,,239.887.014.984,-205.808.647.203,150.679.666.078,672.990.528.779
,,,,,,,,240.086.014.989,-205.691.583.014,150.846.332.744,672.951.778.992
,,,,,,,,240.285.014.995,-205.743.927.003,151.012.999.411,672.921.787.227
,,,,,,,,240.484.015,-205.551.080.886,151.179.666.078,67.290.028.336
,,,,,,,,240.683.015.006,-205.561.887.644,151.346.332.744,672.886.962.208
,,,,,,,,240.882.015.011,-205.446.563.987,151.512.999.411,672.881.479.203
,,,,,,,,241.081.015.017,-205.458.069.418,151.679.666.078,672.883.446.412
,,,,,,,,241.280.015.022,-205.283.256.447,151.846.332.744,672.892.429.062
,,,,,,,,241.479.015.028,-205.264.944.397,152.012.999.411,672.907.942.691
,,,,,,,,241.678.015.034,-20.514.565.709,152.179.666.078,67.292.945.107
,,,,,,,,241.877.015.039,-205.120.015.779,152.346.332.744,672.956.365.005
,,,,,,,,242.076.015.045,-204.900.251.491,152.512.999.411,672.988.042.138
,,,,,,,,24.227.501.505,-204.930.987.225,152.679.666.078,673.023.787.816
,,,,,,,,242.474.015.056,-204.893.364.494,152.846.332.744,673.062.857.105
,,,,,,,,242.673.015.061,-204.867.972.601,153.012.999.411,673.104.458.007
,,,,,,,,242.872.015.067,-204.988.782.509,153.179.666.078,67.314.775.588
,,,,,,,,243.071.015.072,-204.973.249.593,153.346.332.744,673.191.879.083
,,,,,,,,243.270.015.078,-205.118.017.051,153.512.999.411,673.235.925.808
,,,,,,,,243.469.015.083,-205.101.682.791,153.679.666.078,673.278.972.054
,,,,,,,,243.668.015.089,-204.998.797.708,153.846.332.744,673.320.080.659
,,,,,,,,243.867.015.094,-205.104.526.493,154.012.999.411,673.358.311.294
,,,,,,,,2.440.660.151,-20.499.716.608,154.179.666.078,673.392.731.293
,,,,,,,,244.265.015.105,-205.090.719.049,154.346.332.744,673.422.427.152
,,,,,,,,244.464.015.111,-204.906.699.833,154.512.999.411,673.446.516.545
,,,,,,,,244.663.015.116,-205.079.787.494,154.679.666.078,673.464.160.649
,,,,,,,,244.862.015.122,-204.955.460.033,154.846.332.744,673.474.576.577
,,,,,,,,245.061.015.127,-204.922.463.155,155.012.999.411,673.477.049.699
,,,,,,,,245.260.015.133,-204.897.737.528,155.179.666.078,673.470.945.606
,,,,,,,,245.459.015.138,-205.036.011.223,155.346.332.744,673.455.721.501
,,,,,,,,245.658.015.144,-204.781.459.925,155.512.999.411,673.430.936.764
,,,,,,,,24.585.701.515,-204.975.674.698,155.679.666.078,673.396.262.469
,,,,,,,,246.056.015.155,-204.809.232.568,155.846.332.744,673.351.489.622
,,,,,,,,246.255.015.161,-204.904.512.527,156.012.999.411,673.296.535.915
,,,,,,,,246.454.015.166,-204.796.408.408,156.179.666.078,673.231.450.807
,,,,,,,,246.653.015.172,-204.928.921.611,156.346.332.744,673.156.418.754
,,,,,,,,246.852.015.177,-20.484.808.077,156.512.999.411,673.071.760.471
,,,,,,,,247.051.015.183,-205.031.044.658,156.679.666.078,672.977.932.092
,,,,,,,,247.250.015.188,-205.033.519.649,156.846.332.744,672.875.522.179
,,,,,,,,247.449.015.194,-20.502.312.433,157.012.999.411,672.765.246.534
,,,,,,,,247.648.015.199,-205.076.381.834,157.179.666.078,672.647.940.828
,,,,,,,,247.847.015.205,-205.324.526.998,157.346.332.744,672.524.551.087
,,,,,,,,24.804.601.521,-205.356.120.842,157.512.999.411,672.396.122.138
,,,,,,,,248.245.015.216,-205.432.813.699,157.679.666.078,672.263.784.143
,,,,,,,,248.444.015.221,-205.638.840.151,157.846.332.744,672.128.737.385
,,,,,,,,248.643.015.227,-205.710.510.193,158.012.999.411,671.992.235.533
,,,,,,,,248.842.015.232,-205.786.339.827,158.179.666.078,671.855.567.626
,,,,,,,,249.041.015.238,-205.867.223.819,158.346.332.744,671.720.039.046
,,,,,,,,249.240.015.243,-205.782.188.277,158.512.999.411,671.586.951.804
,,,,,,,,249.439.015.249,-205.907.285.054,158.679.666.078,671.457.584.439
,,,,,,,,249.638.015.254,-205.832.717.215,158.846.332.744,671.333.171.893
,,,,,,,,24.983.701.526,-205.761.260.975,159.012.999.411,671.214.885.699
,,,,,,,,250.036.015.265,-205.704.476.643,159.179.666.078,671.103.814.839
,,,,,,,,250.235.015.271,-205.588.853.789,159.346.332.744,671.000.947.615
,,,,,,,,250.434.015.277,-205.538.224.475,159.512.999.411,670.907.154.874
,,,,,,,,250.633.015.282,-205.397.600.391,159.679.666.078,670.823.174.898
,,,,,,,,250.832.015.288,-205.474.725.239,159.846.332.744,670.749.600.264
,,,,,,,,251.031.015.293,-205.151.598.261,160.012.999.411,670.686.866.915
,,,,,,,,251.230.015.299,-205.329.126.223,160.179.666.078,670.635.245.698
,,,,,,,,251.429.015.304,-205.095.443.436,160.346.332.744,670.594.836.528
,,,,,,,,25.162.801.531,-205.190.978.202,160.512.999.411,670.565.565.337
,,,,,,,,251.827.015.315,-20.480.484.906,160.679.666.078,670.547.183.896
,,,,,,,,252.026.015.321,-204.971.645.467,160.846.332.744,67.053.927.255
,,,,,,,,252.225.015.326,-204.827.477.703,161.012.999.411,670.541.245.866
,,,,,,,,252.424.015.332,-205.022.455.828,161.179.666.078,670.552.361.127
,,,,,,,,252.623.015.337,-204.941.285.298,161.346.332.744,670.571.729.571
,,,,,,,,252.822.015.343,-205.191.328.946,161.512.999.411,6.705.983.302
,,,,,,,,253.021.015.348,-204.989.760.414,161.679.666.078,67.063.102.597
,,,,,,,,253.220.015.354,-205.251.513.801,161.846.332.744,670.668.582.099
,,,,,,,,253.419.015.359,-205.106.717.616,162.012.999.411,670.709.686.205
,,,,,,,,253.618.015.365,-205.184.467.611,162.179.666.078,670.752.969.959
,,,,,,,,25.381.701.537,-20.506.653.184,162.346.332.744,670.797.031.878
,,,,,,,,254.016.015.376,-205.099.257.625,162.512.999.411,670.840.460.916
,,,,,,,,254.215.015.381,-20.505.799.723,162.679.666.078,670.881.860.422
,,,,,,,,254.414.015.387,-205.196.345.604,162.846.332.744,670.919.872.093
,,,,,,,,254.613.015.393,-205.070.174.212,163.012.999.411,670.953.199.503
,,,,,,,,254.812.015.398,-205.045.911.836,163.179.666.078,670.980.630.807
,,,,,,,,255.011.015.404,-204.892.893.643,163.346.332.744,671.001.060.239
,,,,,,,,255.210.015.409,-205.124.699.621,163.512.999.411,671.013.508.027
,,,,,,,,255.409.015.415,-204.911.770.796,163.679.666.078,671.017.138.377
,,,,,,,,25.560.801.542,-205.071.000.645,163.846.332.744,671.011.275.223
,,,,,,,,255.807.015.426,-205.009.563.877,164.012.999.411,670.995.415.439
,,,,,,,,256.006.015.431,-204.868.722.515,164.179.666.078,670.969.239.312
,,,,,,,,256.205.015.437,-204.853.192.116,164.346.332.744,670.932.618.042
,,,,,,,,256.404.015.442,-204.852.913.562,164.512.999.411,670.885.618.164
,,,,,,,,256.603.015.448,-204.841.809.248,164.679.666.078,670.828.502.774
,,,,,,,,256.802.015.453,-204.913.910.556,164.846.332.744,670.761.729.535
,,,,,,,,257.001.015.459,-204.897.354.022,165.012.999.411,670.685.945.486
,,,,,,,,257.200.015.464,-20.503.365.599,165.179.666.078,670.601.978.701
,,,,,,,,25.739.901.547,-20.510.701.425,165.346.332.744,670.510.826.962
,,,,,,,,257.598.015.475,-20.506.395.727,165.512.999.411,670.413.643.586
,,,,,,,,257.797.015.481,-205.152.346.859,165.679.666.078,67.031.172.066
,,,,,,,,257.996.015.486,-205.335.201.367,165.846.332.744,670.206.469.943
,,,,,,,,258.195.015.492,-205.452.811.212,166.012.999.411,670.099.401.749
,,,,,,,,258.394.015.497,-205.510.455.262,166.179.666.078,669.992.102.161
,,,,,,,,258.593.015.503,-205.627.021.438,166.346.332.744,669.886.208.953
,,,,,,,,258.792.015.509,-205.691.279.463,166.512.999.411,669.783.386.619
,,,,,,,,258.991.015.514,-205.755.636.553,166.679.666.078,669.685.300.917
,,,,,,,,25.919.001.552,-205.814.106.997,166.846.332.744,66.959.359.337
,,,,,,,,259.389.015.525,-20.593.010.918,167.012.999.411,669.509.856.127
,,,,,,,,259.588.015.531,-205.768.537.688,167.179.666.078,669.435.607.612
,,,,,,,,259.787.015.536,-205.752.405.943,167.346.332.744,669.372.269.369
,,,,,,,,259.986.015.542,-20.565.235.718,167.512.999.411,669.321.144.466
,,,,,,,,260.185.015.547,-205.728.471.095,167.679.666.078,669.283.397.835
,,,,,,,,260.384.015.553,-205.552.843.411,167.846.332.744,66.926.003.884
,,,,,,,,260.583.015.558,-205.554.495.411,168.012.999.411,669.251.906.374
,,,,,,,,260.782.015.564,-205.366.247.284,168.179.666.078,669.259.656.693
,,,,,,,,260.981.015.569,-205.496.340.574,168.346.332.744,669.283.754.188
,,,,,,,,261.180.015.575,-205.173.005.296,168.512.999.411,669.324.465.212
,,,,,,,,26.137.901.558,-205.222.010.525,168.679.666.078,669.381.855.041
,,,,,,,,261.578.015.586,-205.077.523.016,168.846.332.744,669.455.787.985
,,,,,,,,261.777.015.591,-205.040.862.326,169.012.999.411,669.545.930.614
,,,,,,,,261.976.015.597,-20.488.321.654,169.179.666.078,669.651.758.002
,,,,,,,,262.175.015.602,-204.950.925.776,169.346.332.744,669.772.562.851
,,,,,,,,262.374.015.608,-204.833.178.221,169.512.999.411,669.907.467.304
,,,,,,,,262.573.015.613,-204.963.875.723,169.679.666.078,670.055.437.192
,,,,,,,,262.772.015.619,-204.928.783.087,169.846.332.744,670.215.298.468
,,,,,,,,262.971.015.624,-205.080.081.518,170.012.999.411,670.385.755.487
,,,,,,,,26.317.001.563,-205.064.619.156,170.179.666.078,67.056.541.081
,,,,,,,,263.369.015.636,-205.114.610.499,170.346.332.744,670.752.786.175
,,,,,,,,263.568.015.641,-205.134.666.794,170.512.999.411,67.094.634.425
,,,,,,,,263.767.015.647,-205.144.624.627,170.679.666.078,671.144.510.802
,,,,,,,,263.966.015.652,-205.088.339.338,170.846.332.744,671.345.696.902
,,,,,,,,264.165.015.658,-205.040.796.031,171.012.999.411,671.548.320.788
,,,,,,,,264.364.015.663,-205.104.379.451,171.179.666.078,671.750.829.046
