V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-277.910.999.387,-203.982.033.524,-282.987.000.589,213.180.779.202
,,,,,,,,-277.711.999.381,-203.991.767.528,-282.820.333.922,244.065.765.685
,,,,,,,,-277.512.999.376,-203.971.073.277,-282.653.667.255,278.795.992.161
,,,,,,,,-27.731.399.937,-203.840.670.219,-282.487.000.589,317.752.920.674
,,,,,,,,-277.114.999.365,-203.783.836.109,-282.320.333.922,361.342.090.007
,,,,,,,,-276.915.999.359,-203.719.607.489,-282.153.667.255,409.992.797.861
,,,,,,,,-276.716.999.354,-203.672.021.379,-281.987.000.589,464.157.494.069
,,,,,,,,-276.517.999.348,-203.577.392.828,-281.820.333.922,524.310.858.829
,,,,,,,,-276.318.999.343,-20.360.647.572,-281.653.667.255,59.094.854.185
,,,,,,,,-276.119.999.337,-203.509.287.476,-281.487.000.589,66.458.554.096
,,,,,,,,-275.920.999.332,-203.397.451.213,-281.320.333.922,745.754.201.995
,,,,,,,,-275.721.999.326,-203.344.999.352,-281.153.667.255,835.001.825.826
,,,,,,,,-275.522.999.321,-203.243.899.689,-280.987.000.589,932.887.873.037
,,,,,,,,-275.323.999.315,-203.226.569.299,-280.820.333.922,103.998.076.215
,,,,,,,,-27.512.499.931,-203.074.550.124,-280.653.667.255,115.685.426.322
,,,,,,,,-274.925.999.304,-203.218.946.565,-280.487.000.589,128.408.349.527
,,,,,,,,-274.726.999.299,-203.074.557.849,-280.320.333.922,142.224.054.277
,,,,,,,,-274.527.999.293,-203.236.569.326,-280.153.667.255,157.188.971.412
,,,,,,,,-274.328.999.288,-20.315.176.323,-279.987.000.589,173.358.247.232
,,,,,,,,-274.129.999.282,-203.266.756.056,-279.820.333.922,190.785.207.617
,,,,,,,,-273.930.999.276,-203.193.859.301,-279.653.667.255,20.952.079.775
,,,,,,,,-273.731.999.271,-203.320.897.876,-279.487.000.589,229.613.002.816
,,,,,,,,-273.532.999.265,-203.210.899.813,-279.320.333.922,251.106.255.687
,,,,,,,,-27.333.399.926,-203.375.169.391,-279.153.667.255,274.040.838.331
,,,,,,,,-273.134.999.254,-203.214.013.117,-278.987.000.589,298.452.284.219
,,,,,,,,-272.935.999.249,-203.196.252.888,-278.820.333.922,324.370.789.531
,,,,,,,,-272.736.999.243,-203.194.903.759,-278.653.667.255,351.820.641.344
,,,,,,,,-272.537.999.238,-203.231.021.393,-278.487.000.589,380.819.671.251
,,,,,,,,-272.338.999.232,-203.227.674.441,-278.320.333.922,411.378.743
,,,,,,,,-272.139.999.227,-203.176.858.635,-278.153.667.255,443.501.282.725
,,,,,,,,-271.940.999.221,-203.280.786.457,-277.987.000.589,477.182.860.179
,,,,,,,,-271.741.999.216,-203.253.714.938,-277.820.333.922,51.241.082.904
,,,,,,,,-27.154.299.921,-203.081.693.013,-277.653.667.255,549.164.033.889
,,,,,,,,-271.343.999.205,-203.243.775.531,-277.487.000.589,587.412.590.788
,,,,,,,,-271.144.999.199,-203.166.983.308,-277.320.333.922,627.117.747.588
,,,,,,,,-270.945.999.194,-203.214.286.802,-277.153.667.255,668.231.829.158
,,,,,,,,-270.746.999.188,-203.201.873.608,-276.987.000.589,710.698.271.604
,,,,,,,,-270.547.999.183,-203.246.387.509,-276.820.333.922,754.451.748.383
,,,,,,,,-270.348.999.177,-20.318.159.596,-276.653.667.255,799.418.389.895
,,,,,,,,-270.149.999.172,-203.268.848.544,-276.487.000.589,845.516.096.765
,,,,,,,,-269.950.999.166,-203.298.085.614,-276.320.333.922,892.654.945.617
,,,,,,,,-269.751.999.161,-203.435.181.279,-276.153.667.255,940.737.684.678
,,,,,,,,-269.552.999.155,-203.408.524.458,-275.987.000.589,989.660.315.152
,,,,,,,,-269.353.999.149,-203.577.976.957,-275.820.333.922,103.931.275.287
,,,,,,,,-269.154.999.144,-203.636.635.075,-275.653.667.255,10.895.795.634
,,,,,,,,-268.955.999.138,-203.839.960.073,-275.487.000.589,114.034.076.264
,,,,,,,,-268.756.999.133,-20.401.294.758,-275.320.333.922,119.147.267.364
,,,,,,,,-268.557.999.127,-203.963.419.058,-275.153.667.255,124.284.882.962
,,,,,,,,-268.358.999.122,-204.013.276.056,-274.987.000.589,129.434.091.225
,,,,,,,,-268.159.999.116,-204.077.093.458,-274.820.333.922,134.581.971.368
,,,,,,,,-267.960.999.111,-204.051.684.235,-274.653.667.255,13.971.561.103
,,,,,,,,-267.761.999.105,-204.004.084.927,-274.487.000.589,144.822.203.628
,,,,,,,,-2.675.629.991,-203.861.750.063,-274.320.333.922,149.889.144.453
,,,,,,,,-267.363.999.094,-203.850.042.964,-274.153.667.255,154.904.124.346
,,,,,,,,-267.164.999.089,-203.768.823.421,-273.987.000.589,159.855.219.776
,,,,,,,,-266.965.999.083,-203.765.090.327,-273.820.333.922,164.730.978.272
,,,,,,,,-266.766.999.078,-203.665.638.364,-273.653.667.255,169.520.498.178
,,,,,,,,-266.567.999.072,-203.703.577.622,-273.487.000.589,174.213.501.849
,,,,,,,,-266.368.999.067,-203.669.589.493,-273.320.333.922,178.800.401.486
,,,,,,,,-266.169.999.061,-203.543.613.531,-273.153.667.255,183.272.356.959
,,,,,,,,-265.970.999.056,-203.356.958.788,-272.987.000.589,187.621.325.063
,,,,,,,,-26.577.199.905,-203.351.874.877,-272.820.333.922,191.840.099.844
,,,,,,,,-265.572.999.045,-203.203.870.735,-272.653.667.255,195.922.343.723
,,,,,,,,-265.373.999.039,-203.190.108.772,-272.487.000.589,199.862.609.325
,,,,,,,,-265.174.999.033,-203.257.756.752,-272.320.333.922,203.656.352.041
