time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-226.153.667.255,678.802.705.154
-225.987.000.589,678.421.643.615
-225.820.333.922,67.805.704.706
-225.653.667.255,677.709.763.062
-225.487.000.589,677.380.648.752
-225.320.333.922,677.070.573.309
-225.153.667.255,676.780.418.277
-224.987.000.589,67.651.107.551
-224.820.333.922,676.263.442.676
-224.653.667.255,67.603.841.625
-224.487.000.589,675.836.882.058
-224.320.333.922,675.659.703.463
-224.153.667.255,675.507.707.378
-223.987.000.589,675.381.668.354
-223.820.333.922,675.282.291.061
-223.653.667.255,675.210.191.525
-223.487.000.589,675.165.877.555
-223.320.333.922,675.149.728.816
-223.153.667.255,675.161.977.052
-222.987.000.589,675.202.686.974
-222.820.333.922,675.271.738.333
-222.653.667.255,6.753.688.097
-222.487.000.589,675.493.364.453
-222.320.333.922,675.644.639.444
-222.153.667.255,675.821.636.764
-221.987.000.589,676.023.118.994
-221.820.333.922,676.247.608.233
-221.653.667.255,676.493.389.159
-221.487.000.589,676.758.516.252
-221.320.333.922,677.040.825.272
-221.153.667.255,677.337.948.959
-220.987.000.589,677.647.336.838
-220.820.333.922,677.966.278.936
-220.653.667.255,678.291.933.112
-220.487.000.589,67.862.135.563
-220.320.333.922,678.951.534.514
-220.153.667.255,679.279.425.179
-219.987.000.589,679.601.987.741
-219.820.333.922,679.916.225.402
-219.653.667.255,680.219.223.222
-219.487.000.589,680.508.186.634
-219.320.333.922,680.780.478.971
-219.153.667.255,681.033.657.371
-218.987.000.589,681.265.506.359
-218.820.333.922,681.474.068.517
-218.653.667.255,681.657.671.646
-218.487.000.589,681.814.951.922
-218.320.333.922,681.944.872.588
-218.153.667.255,682.046.737.835
-217.987.000.589,682.120.201.589
-217.820.333.922,682.165.271.031
-217.653.667.255,68.218.230.476
-217.487.000.589,682.172.005.628
-217.320.333.922,682.135.408.348
-217.153.667.255,682.073.862.097
-216.987.000.589,681.989.008.419
-216.820.333.922,681.882.754.806
-216.653.667.255,681.757.244.435
-216.487.000.589,681.614.822.582
-216.320.333.922,681.458.000.313
-216.153.667.255,681.289.416.077
-215.987.000.589,681.111.795.872
-215.820.333.922,680.927.912.663
-215.653.667.255,680.740.545.737
-215.487.000.589,680.552.440.681
-215.320.333.922,680.366.270.631
-215.153.667.255,680.184.599.415
-214.987.000.589,680.009.847.168
-214.820.333.922,679.844.258.935
-214.653.667.255,679.689.876.711
-214.487.000.589,679.548.515.311
-214.320.333.922,679.421.742.352
-214.153.667.255,679.310.862.581
-213.987.000.589,679.216.906.676
-213.820.333.922,679.140.624.567
-213.653.667.255,679.082.483.245
-213.487.000.589,679.042.668.942
-213.320.333.922,679.021.093.485
-213.153.667.255,67.901.740.457
-212.987.000.589,679.030.999.635
-212.820.333.922,679.061.042.942
-212.653.667.255,679.106.485.471
-212.487.000.589,679.166.087.154
-212.320.333.922,679.238.440.986
-212.153.667.255,67.932.199.853
-211.987.000.589,679.415.096.316
-211.820.333.922,67.951.598.267
-211.653.667.255,679.622.844.505
-211.487.000.589,679.733.833.647
-211.320.333.922,679.847.092.294
-211.153.667.255,679.960.777.257
-210.987.000.589,680.073.082.671
-210.820.333.922,680.182.260.924
-210.653.667.255,680.286.641.582
-210.487.000.589,680.384.648.185
-210.320.333.922,680.474.812.792
-210.153.667.255,680.555.788.241
-209.987.000.589,680.626.358.132
-209.820.333.922,680.685.444.571
-209.653.667.255,680.732.113.775
-209.487.000.589,680.765.579.654
-209.320.333.922,680.785.205.536
-209.153.667.255,680.790.504.192
-208.987.000.589,680.781.136.375
-208.820.333.922,680.756.908.053
-208.653.667.255,680.717.766.552
-208.487.000.589,680.663.795.802
-208.320.333.922,680.595.210.884
-208.153.667.255,680.512.352.038
-207.987.000.589,680.415.678.316
-207.820.333.922,680.305.761
-207.653.667.255,6.801.832.769
-207.487.000.589,680.049.001.636
