time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
113.512.999.411,684.183.620.355
113.679.666.078,683.764.245.391
113.846.332.744,683.339.333.184
114.012.999.411,682.912.122.056
114.179.666.078,682.485.882.026
114.346.332.744,682.063.893.579
114.512.999.411,681.649.425.834
114.679.666.078,681.245.714.202
114.846.332.744,680.855.937.645
115.012.999.411,680.483.195.675
115.179.666.078,680.130.485.228
115.346.332.744,679.800.677.618
115.512.999.411,679.496.495.745
115.679.666.078,679.220.491.788
115.846.332.744,678.975.025.606
116.012.999.411,678.762.244.111
116.179.666.078,678.584.061.848
116.346.332.744,678.442.143.057
116.512.999.411,67.833.788.547
116.679.666.078,678.272.406.087
116.846.332.744,678.246.529.192
117.012.999.411,678.260.776.796
117.179.666.078,678.315.361.733
117.346.332.744,678.410.183.554
117.512.999.411,678.544.827.362
117.679.666.078,67.871.856.567
117.846.332.744,678.930.363.343
118.012.999.411,679.178.885.611
118.179.666.078,679.462.509.132
118.346.332.744,679.779.335.991
118.512.999.411,680.127.210.523
118.679.666.078,680.503.738.746
118.846.332.744,680.906.310.217
119.012.999.411,681.332.122.004
119.179.666.078,681.778.204.516
119.346.332.744,682.241.448.821
119.512.999.411,682.718.635.141
119.679.666.078,683.206.462.123
119.846.332.744,683.701.576.526
120.012.999.411,684.200.602.939
120.179.666.078,684.700.173.155
120.346.332.744,685.196.954.847
120.512.999.411,685.687.679.187
120.679.666.078,686.169.167.105
120.846.332.744,686.638.353.905
121.012.999.411,68.709.231.197
121.179.666.078,687.528.271.367
121.346.332.744,687.943.638.173
121.512.999.411,688.336.010.412
121.679.666.078,688.703.191.513
121.846.332.744,689.043.201.276
122.012.999.411,689.354.284.349
122.179.666.078,689.634.916.274
122.346.332.744,689.883.807.204
122.512.999.411,690.099.903.406
122.679.666.078,690.282.386.716
122.846.332.744,690.430.672.124
123.012.999.411,690.544.403.678
123.179.666.078,690.623.448.932
123.346.332.744,69.066.789.212
123.512.999.411,690.678.026.304
123.679.666.078,690.654.344.658
123.846.332.744,690.597.531.112
124.012.999.411,690.508.450.501
124.179.666.078,69.038.813.839
124.346.332.744,690.237.790.679
124.512.999.411,690.058.753.105
124.679.666.078,689.852.510.698
124.846.332.744,689.620.677.245
125.012.999.411,689.364.984.756
125.179.666.078,689.087.272.955
125.346.332.744,688.789.478.732
125.512.999.411,688.473.625.523
125.679.666.078,688.141.812.555
125.846.332.744,687.796.203.871
126.012.999.411,687.439.017.075
126.179.666.078,687.072.511.702
126.346.332.744,68.669.897.717
126.512.999.411,686.320.720.239
126.679.666.078,685.940.051.947
126.846.332.744,685.559.274.021
127.012.999.411,68.518.066.475
127.179.666.078,684.806.464.389
127.346.332.744,684.438.860.139
127.512.999.411,684.079.970.827
127.679.666.078,683.731.831.407
127.846.332.744,68.339.637.745
128.012.999.411,683.075.429.819
128.179.666.078,682.770.679.736
128.346.332.744,682.483.674.476
128.512.999.411,68.221.580.395
128.679.666.078,681.968.288.411
128.846.332.744,681.742.167.549
129.012.999.411,68.153.829.123
129.179.666.078,681.357.312.104
129.346.332.744,681.199.680.303
129.512.999.411,681.065.640.405
129.679.666.078,680.955.230.838
129.846.332.744,680.868.285.799
130.012.999.411,680.804.439.792
130.179.666.078,680.763.134.774
130.346.332.744,680.743.629.884
130.512.999.411,680.745.013.665
130.679.666.078,680.766.218.634
130.846.332.744,680.806.038.015
131.012.999.411,680.863.144.379
131.179.666.078,680.936.109.906
131.346.332.744,681.023.427.957
131.512.999.411,681.123.535.572
131.679.666.078,681.234.836.525
131.846.332.744,681.355.724.525
132.012.999.411,681.484.606.163
132.179.666.078,681.619.923.173
132.346.332.744,681.760.173.637
132.512.999.411,681.903.931.722
132.679.666.078,682.049.865.624
132.846.332.744,682.196.753.382
133.012.999.411,6.823.434.963
133.179.666.078,682.489.129.746
133.346.332.744,68.263.283.116
133.512.999.411,682.773.925.167
133.679.666.078,682.911.885.721
133.846.332.744,683.046.335.318
134.012.999.411,683.177.041.314
134.179.666.078,683.303.909.505
134.346.332.744,683.426.975.125
134.512.999.411,683.546.391.499
134.679.666.078,683.662.416.634
134.846.332.744,683.775.398.044
135.012.999.411,683.885.756.147
135.179.666.078,683.993.966.615
135.346.332.744,684.100.542.019
135.512.999.411,684.206.013.172
135.679.666.078,684.310.910.535
135.846.332.744,684.415.746.043
136.012.999.411,684.520.995.705
136.179.666.078,684.627.083.288
136.346.332.744,684.734.365.382
136.512.999.411,684.843.118.083
136.679.666.078,684.953.525.527
136.846.332.744,685.065.670.417
137.012.999.411,685.179.526.701
137.179.666.078,685.294.954.456
137.346.332.744,685.411.697.027
137.512.999.411,68.552.938.042
137.679.666.078,685.647.514.894
137.846.332.744,685.765.498.678
138.012.999.411,685.882.623.692
138.179.666.078,685.998.083.126
138.346.332.744,686.110.980.716
138.512.999.411,686.220.341.507
138.679.666.078,686.325.123.909
138.846.332.744,686.424.232.824
139.012.999.411,686.516.533.611
139.179.666.078,68.660.086.666
139.346.332.744,686.676.062.356
139.512.999.411,686.740.956.186
139.679.666.078,686.794.403.785
139.846.332.744,686.835.295.716
140.012.999.411,686.862.571.762
140.179.666.078,686.875.234.577
140.346.332.744,686.872.362.505
140.512.999.411,686.853.121.419
140.679.666.078,686.816.775.446
140.846.332.744,686.762.696.468
141.012.999.411,68.669.037.228
141.179.666.078,686.599.413.339
141.346.332.744,686.489.558.032
141.512.999.411,686.360.676.426
141.679.666.078,686.212.772.465
141.846.332.744,686.045.984.609
142.012.999.411,685.860.584.931
142.179.666.078,685.656.976.684
142.346.332.744,685.435.690.412
142.512.999.411,685.197.378.632
142.679.666.078,684.942.809.203
142.846.332.744,684.672.857.456
143.012.999.411,684.388.497.199
143.179.666.078,684.090.790.738
143.346.332.744,683.780.878.037
143.512.999.411,683.459.965.176
143.679.666.078,683.129.312.262
143.846.332.744,682.790.220.977
144.012.999.411,68.244.402.191
144.179.666.078,682.092.061.869
144.346.332.744,681.735.691.353
144.512.999.411,681.376.252.328
144.679.666.078,681.015.066.512
144.846.332.744,680.653.424.298
145.012.999.411,680.292.574.473
145.179.666.078,679.933.714.872
145.346.332.744,679.577.984.063
145.512.999.411,679.226.454.176
145.679.666.078,678.880.124.941
145.846.332.744,67.853.991.899
146.012.999.411,67.820.667.845
146.179.666.078,677.881.162.821
146.346.332.744,677.564.048.137
146.512.999.411,677.255.927.348
146.679.666.078,676.957.311.854
146.846.332.744,676.668.634.119
147.012.999.411,676.390.251.235
147.179.666.078,676.122.449.329
147.346.332.744,675.865.448.658
147.512.999.411,675.619.409.255
147.679.666.078,675.384.436.963
147.846.332.744,6.751.605.897
148.012.999.411,674.947.883.784
148.179.666.078,674.746.300.184
148.346.332.744,674.555.790.513
148.512.999.411,674.376.282.657
148.679.666.078,674.207.685.888
148.846.332.744,674.049.895.364
149.012.999.411,673.902.795.909
149.179.666.078,673.766.265.017
149.346.332.744,67.364.017.501
149.512.999.411,673.524.394.327
149.679.666.078,673.418.787.935
149.846.332.744,673.323.216.871
150.012.999.411,673.237.536.962
150.179.666.078,67.316.159.676
150.346.332.744,673.095.234.788
150.512.999.411,673.038.276.171
150.679.666.078,672.990.528.779
150.846.332.744,672.951.778.992
151.012.999.411,672.921.787.227
151.179.666.078,67.290.028.336
151.346.332.744,672.886.962.208
151.512.999.411,672.881.479.203
151.679.666.078,672.883.446.412
151.846.332.744,672.892.429.062
152.012.999.411,672.907.942.691
152.179.666.078,67.292.945.107
152.346.332.744,672.956.365.005
152.512.999.411,672.988.042.138
152.679.666.078,673.023.787.816
152.846.332.744,673.062.857.105
153.012.999.411,673.104.458.007
153.179.666.078,67.314.775.588
153.346.332.744,673.191.879.083
153.512.999.411,673.235.925.808
153.679.666.078,673.278.972.054
153.846.332.744,673.320.080.659
154.012.999.411,673.358.311.294
154.179.666.078,673.392.731.293
154.346.332.744,673.422.427.152
154.512.999.411,673.446.516.545
154.679.666.078,673.464.160.649
154.846.332.744,673.474.576.577
155.012.999.411,673.477.049.699
155.179.666.078,673.470.945.606
155.346.332.744,673.455.721.501
155.512.999.411,673.430.936.764
155.679.666.078,673.396.262.469
155.846.332.744,673.351.489.622
156.012.999.411,673.296.535.915
156.179.666.078,673.231.450.807
156.346.332.744,673.156.418.754
156.512.999.411,673.071.760.471
156.679.666.078,672.977.932.092
156.846.332.744,672.875.522.179
157.012.999.411,672.765.246.534
157.179.666.078,672.647.940.828
157.346.332.744,672.524.551.087
157.512.999.411,672.396.122.138
157.679.666.078,672.263.784.143
157.846.332.744,672.128.737.385
158.012.999.411,671.992.235.533
158.179.666.078,671.855.567.626
158.346.332.744,671.720.039.046
158.512.999.411,671.586.951.804
158.679.666.078,671.457.584.439
158.846.332.744,671.333.171.893
159.012.999.411,671.214.885.699
159.179.666.078,671.103.814.839
159.346.332.744,671.000.947.615
159.512.999.411,670.907.154.874
159.679.666.078,670.823.174.898
159.846.332.744,670.749.600.264
160.012.999.411,670.686.866.915
160.179.666.078,670.635.245.698
160.346.332.744,670.594.836.528
160.512.999.411,670.565.565.337
160.679.666.078,670.547.183.896
160.846.332.744,67.053.927.255
161.012.999.411,670.541.245.866
161.179.666.078,670.552.361.127
161.346.332.744,670.571.729.571
161.512.999.411,6.705.983.302
161.679.666.078,67.063.102.597
161.846.332.744,670.668.582.099
162.012.999.411,670.709.686.205
162.179.666.078,670.752.969.959
162.346.332.744,670.797.031.878
162.512.999.411,670.840.460.916
162.679.666.078,670.881.860.422
162.846.332.744,670.919.872.093
163.012.999.411,670.953.199.503
163.179.666.078,670.980.630.807
163.346.332.744,671.001.060.239
163.512.999.411,671.013.508.027
163.679.666.078,671.017.138.377
163.846.332.744,671.011.275.223
164.012.999.411,670.995.415.439
164.179.666.078,670.969.239.312
164.346.332.744,670.932.618.042
164.512.999.411,670.885.618.164
164.679.666.078,670.828.502.774
164.846.332.744,670.761.729.535
165.012.999.411,670.685.945.486
165.179.666.078,670.601.978.701
165.346.332.744,670.510.826.962
165.512.999.411,670.413.643.586
165.679.666.078,67.031.172.066
165.846.332.744,670.206.469.943
166.012.999.411,670.099.401.749
166.179.666.078,669.992.102.161
166.346.332.744,669.886.208.953
166.512.999.411,669.783.386.619
166.679.666.078,669.685.300.917
166.846.332.744,66.959.359.337
167.012.999.411,669.509.856.127
167.179.666.078,669.435.607.612
167.346.332.744,669.372.269.369
167.512.999.411,669.321.144.466
167.679.666.078,669.283.397.835
167.846.332.744,66.926.003.884
168.012.999.411,669.251.906.374
168.179.666.078,669.259.656.693
168.346.332.744,669.283.754.188
168.512.999.411,669.324.465.212
168.679.666.078,669.381.855.041
168.846.332.744,669.455.787.985
169.012.999.411,669.545.930.614
169.179.666.078,669.651.758.002
169.346.332.744,669.772.562.851
169.512.999.411,669.907.467.304
169.679.666.078,670.055.437.192
169.846.332.744,670.215.298.468
170.012.999.411,670.385.755.487
170.179.666.078,67.056.541.081
170.346.332.744,670.752.786.175
170.512.999.411,67.094.634.425
170.679.666.078,671.144.510.802
170.846.332.744,671.345.696.902
171.012.999.411,671.548.320.788
171.179.666.078,671.750.829.046
171.346.332.744,671.951.716.771
171.512.999.411,672.149.546.395
171.679.666.078,672.342.964.926
171.846.332.744,672.530.719.347
172.012.999.411,672.711.669.982
172.179.666.078,672.884.801.687
172.346.332.744,673.049.232.738
172.512.999.411,673.204.221.364
172.679.666.078,673.349.169.906
172.846.332.744,673.483.626.616
173.012.999.411,67.360.728.517
173.179.666.078,673.719.981.997
173.346.332.744,673.821.691.552
173.512.999.411,67.391.251.973
173.679.666.078,673.992.695.586
173.846.332.744,674.062.561.604
174.012.999.411,674.122.562.743
174.179.666.078,674.173.234.504
174.346.332.744,674.215.190.283
174.512.999.411,674.249.108.253
174.679.666.078,674.275.718.038
174.846.332.744,674.295.787.406
175.012.999.411,674.310.109.231
175.179.666.078,674.319.488.915
175.346.332.744,674.324.732.472
175.512.999.411,674.326.635.437
175.679.666.078,67.432.597.274
175.846.332.744,674.323.489.654
176.012.999.411,674.319.893.895
176.179.666.078,674.315.848.935
176.346.332.744,674.311.968.532
176.512.999.411,67.430.881.248
176.679.666.078,674.306.883.525
176.846.332.744,674.306.625.399
177.012.999.411,674.308.421.858
177.179.666.078,674.312.596.626
177.346.332.744,674.319.414.116
177.512.999.411,674.329.080.761
177.679.666.078,674.341.746.817
177.846.332.744,67.435.750.847
178.012.999.411,674.376.410.072
178.179.666.078,674.398.446.346
178.346.332.744,67.442.356.442
178.512.999.411,67.445.166.551
178.679.666.078,674.482.606.167
178.846.332.744,674.516.198.941
179.012.999.411,674.552.212.399
179.179.666.078,674.590.370.437
179.346.332.744,674.630.350.845
179.512.999.411,67.467.178.314
179.679.666.078,674.714.245.695
179.846.332.744,674.757.262.228
180.012.999.411,674.800.297.752
180.179.666.078,674.842.754.123
180.346.332.744,67.488.396.532
180.512.999.411,674.923.192.669
180.679.666.078,674.959.620.191
180.846.332.744,674.992.350.305
181.012.999.411,675.020.400.116
181.179.666.078,675.042.698.526
181.346.332.744,675.058.084.401
181.512.999.411,675.065.306.035
181.679.666.078,675.063.022.106
181.846.332.744,675.049.804.353
182.012.999.411,675.024.142.107
182.179.666.078,674.984.448.843
182.346.332.744,674.929.070.838
182.512.999.411,674.856.298.001
182.679.666.078,674.764.376.877
182.846.332.744,674.651.525.795
183.012.999.411,674.515.952.074
183.179.666.078,674.355.871.142
183.346.332.744,674.169.527.381
183.512.999.411,673.955.216.457
183.679.666.078,673.711.308.863
183.846.332.744,673.436.274.331
184.012.999.411,673.128.706.772
184.179.666.078,672.787.349.337
184.346.332.744,672.411.119.201
184.512.999.411,671.999.131.633
184.679.666.078,671.550.722.924
184.846.332.744,67.106.547.175
185.012.999.411,670.543.218.535
185.179.666.078,669.984.082.441
185.346.332.744,669.388.475.596
185.512.999.411,66.875.711.425
185.679.666.078,668.091.026.556
185.846.332.744,667.391.556.755
186.012.999.411,666.660.365.588
186.179.666.078,665.899.426.809
186.346.332.744,665.111.019.763
186.512.999.411,66.429.771.803
186.679.666.078,663.462.374.227
186.846.332.744,662.608.101.111
187.012.999.411,661.738.249.192
187.179.666.078,660.856.381.132
187.346.332.744,659.966.243.247
187.512.999.411,659.071.734.499
187.679.666.078,658.176.873.378
187.846.332.744,657.285.763.141
188.012.999.411,656.402.555.874
188.179.666.078,655.531.415.883
188.346.332.744,654.676.482.898
188.512.999.411,653.841.835.615
188.679.666.078,653.031.456.052
188.846.332.744,652.249.195.192
189.012.999.411,651.498.740.373
189.179.666.078,650.783.584.815
189.346.332.744,650.106.999.677
189.512.999.411,649.472.008.941
189.679.666.078,648.881.367.413
189.846.332.744,648.337.542.044
190.012.999.411,64.784.269.673
190.179.666.078,647.398.680.675
190.346.332.744,647.007.020.362
190.512.999.411,646.668.915.107
190.679.666.078,6.463.852.361
190.846.332.744,646.156.528.814
191.012.999.411,645.983.018.575
191.179.666.078,645.864.619.096
191.346.332.744,645.800.943.671
191.512.999.411,64.579.131.876
191.679.666.078,645.834.799.628
191.846.332.744,64.593.018.771
192.012.999.411,646.076.049.344
192.179.666.078,646.270.735.542
192.346.332.744,646.512.402.441
192.512.999.411,646.799.032.117
192.679.666.078,647.128.453.466
192.846.332.744,647.498.362.842
193.012.999.411,647.906.344.232
193.179.666.078,648.349.888.739
193.346.332.744,648.826.413.198
193.512.999.411,649.333.277.777
193.679.666.078,649.867.802.484
193.846.332.744,650.427.282.506
194.012.999.411,651.009.002.359
194.179.666.078,651.610.248.868
194.346.332.744,652.228.323.024
194.512.999.411,652.860.550.784
194.679.666.078,653.504.292.915
194.846.332.744,654.156.953.986
195.012.999.411,654.815.990.643
195.179.666.078,655.478.919.278
195.346.332.744,656.143.323.232
195.512.999.411,656.806.859.634
195.679.666.078,657.467.265.997
195.846.332.744,658.122.366.646
196.012.999.411,658.770.079.054
196.179.666.078,659.408.420.123
196.346.332.744,660.035.512.418
196.512.999.411,660.649.590.358
196.679.666.078,661.249.006.314
196.846.332.744,661.832.236.547
197.012.999.411,6.623.978.869
197.179.666.078,662.944.698.137
197.346.332.744,663.471.550.791
197.512.999.411,663.977.469.403
197.679.666.078,664.461.625.985
197.846.332.744,664.923.342.584
198.012.999.411,665.362.092.798
198.179.666.078,665.777.502.126
198.346.332.744,666.169.347.038
198.512.999.411,666.537.552.689
198.679.666.078,666.882.189.223
198.846.332.744,667.203.466.627
199.012.999.411,66.750.172.817
199.179.666.078,667.777.442.456
199.346.332.744,66.803.119.418
199.512.999.411,668.263.673.704
199.679.666.078,668.475.665.613
199.846.332.744,668.668.036.421
200.012.999.411,668.841.721.646
200.179.666.078,668.997.712.483
200.346.332.744,669.137.042.308
200.512.999.411,66.926.077.328
200.679.666.078,669.369.983.283
200.846.332.744,669.465.753.455
201.012.999.411,669.549.156.537
201.179.666.078,669.621.246.251
201.346.332.744,669.683.047.896
201.512.999.411,669.735.550.297
201.679.666.078,669.779.699.246
201.846.332.744,669.816.392.477
202.012.999.411,669.846.476.226
202.179.666.078,669.870.743.354
202.346.332.744,66.988.993.297
202.512.999.411,669.904.731.462
202.679.666.078,669.915.774.788
202.846.332.744,669.923.651.864
203.012.999.411,669.928.908.832
203.179.666.078,669.932.054.008
203.346.332.744,669.933.563.247
203.512.999.411,669.933.885.488
203.679.666.078,669.933.448.245
203.846.332.744,669.932.662.782
204.012.999.411,669.931.928.777
204.179.666.078,669.931.638.253
204.346.332.744,669.932.178.626
204.512.999.411,669.933.934.725
204.679.666.078,669.937.289.696
204.846.332.744,669.942.624.729
205.012.999.411,669.950.317.614
205.179.666.078,669.960.740.152
205.346.332.744,669.974.254.506
205.512.999.411,66.999.120.861
205.679.666.078,670.011.930.807
205.846.332.744,670.036.723.888
206.012.999.411,670.065.858.773
206.179.666.078,670.099.568.052
206.346.332.744,670.138.039.652
206.512.999.411,670.181.410.876
206.679.666.078,670.229.763.065
206.846.332.744,670.283.117.132
207.012.999.411,670.341.430.167
207.179.666.078,670.404.593.336
207.346.332.744,670.472.431.201
207.512.999.411,670.544.702.608
207.679.666.078,670.621.103.203
207.846.332.744,670.701.269.621
208.012.999.411,670.784.785.315
208.179.666.078,670.871.187.974
208.346.332.744,670.959.978.408
208.512.999.411,671.050.630.739
208.679.666.078,671.142.603.699
208.846.332.744,671.235.352.796
209.012.999.411,671.328.343.076
209.179.666.078,671.421.062.177
209.346.332.744,671.513.033.378
209.512.999.411,671.603.828.304
209.679.666.078,671.693.078.973
209.846.332.744,671.780.488.862
210.012.999.411,671.865.842.694
210.179.666.078,671.949.014.671
210.346.332.744,672.029.974.905
210.512.999.411,67.210.879.383
210.679.666.078,672.185.644.447
210.846.332.744,672.260.802.271
211.012.999.411,67.233.464.292
211.179.666.078,672.407.637.339
211.346.332.744,672.480.344.696
211.512.999.411,672.553.403.053
211.679.666.078,672.627.517.975
211.846.332.744,672.703.449.261
212.012.999.411,672.781.996.061
212.179.666.078,67.286.398.067
212.346.332.744,672.950.231.321
212.512.999.411,673.041.564.332
212.679.666.078,673.138.765.986
212.846.332.744,673.242.574.535
213.012.999.411,673.353.662.705
213.179.666.078,673.472.621.114
213.346.332.744,673.599.942.952
213.512.999.411,6.737.360.103
213.679.666.078,673.881.082.396
213.846.332.744,674.035.286.145
214.012.999.411,674.198.609.118
214.179.666.078,674.370.895.233
214.346.332.744,674.551.843.277
214.512.999.411,674.741.008.338
214.679.666.078,674.937.806.199
214.846.332.744,675.141.520.651
215.012.999.411,675.351.313.638
215.179.666.078,675.566.238.101
215.346.332.744,6.757.852.533
215.512.999.411,676.007.242.376
215.679.666.078,676.231.031.841
215.846.332.744,676.455.412.659
216.012.999.411,676.679.162.537
216.179.666.078,676.901.069.017
216.346.332.744,677.119.952.942
216.512.999.411,677.334.691.859
216.679.666.078,6.775.442.429
216.846.332.744,677.747.664.723
217.012.999.411,67.794.413.805
217.179.666.078,678.132.984.428
217.346.332.744,678.313.682.801
217.512.999.411,678.485.883.568
217.679.666.078,678.649.419.809
217.846.332.744,678.804.315.426
218.012.999.411,678.950.789.998
218.179.666.078,679.089.260.195
218.346.332.744,679.220.337.671
218.512.999.411,679.344.823.402
218.679.666.078,679.463.698.516
218.846.332.744,679.578.111.706
219.012.999.411,679.689.363.396
219.179.666.078,679.798.886.876
219.346.332.744,679.908.226.686
219.512.999.411,68.001.901.459
219.679.666.078,680.132.943.497
219.846.332.744,680.251.739.769
220.012.999.411,680.377.134.353
220.179.666.078,680.510.833.236
220.346.332.744,680.654.487.696
220.512.999.411,680.809.664.891
220.679.666.078,68.097.781.926
220.846.332.744,681.160.265.284
221.012.999.411,681.358.152.053
221.179.666.078,681.572.440.131
221.346.332.744,681.803.881.148
221.512.999.411,682.053.000.484
221.679.666.078,682.320.083.423
221.846.332.744,682.605.165.029
222.012.999.411,682.908.023.985
222.179.666.078,683.228.180.545
222.346.332.744,683.564.898.685
222.512.999.411,68.391.719.247
222.679.666.078,684.283.836.564
222.846.332.744,684.663.380.755
223.012.999.411,685.054.168.268
223.179.666.078,685.454.357.601
223.346.332.744,685.861.947.513
223.512.999.411,686.274.804.762
223.679.666.078,68.669.069.411
223.846.332.744,687.107.310.094
224.012.999.411,687.522.309.982
224.179.666.078,687.933.347.349
224.346.332.744,688.338.105.653
224.512.999.411,688.734.331.199
224.679.666.078,689.119.864.895
224.846.332.744,689.492.672.187
225.012.999.411,68.985.087.063
225.179.666.078,690.192.754.557
225.346.332.744,69.051.681.638
225.512.999.411,690.821.764.108
225.679.666.078,691.106.534.744
225.846.332.744,691.370.303.294
226.012.999.411,691.612.487.217
226.179.666.078,691.832.746.218
226.346.332.744,692.030.977.401
226.512.999.411,692.207.305.871
226.679.666.078,692.362.070.988
226.846.332.744,692.495.808.543
227.012.999.411,692.609.229.242
227.179.666.078,692.703.193.933
227.346.332.744,692.778.686.098
227.512.999.411,6.928.367.822
227.679.666.078,692.878.620.497
227.846.332.744,692.905.368.997
228.012.999.411,69.291.819.324
228.179.666.078,692.918.224.591
228.346.332.744,692.906.529.738
228.512.999.411,69.288.408.205
228.679.666.078,69.285.173.542
228.846.332.744,692.810.201.169
229.012.999.411,692.760.028.505
229.179.666.078,692.701.588.992
229.346.332.744,692.635.065.343
229.512.999.411,69.256.044.481
229.679.666.078,692.477.517.321
229.846.332.744,692.385.878.386
230.012.999.411,692.284.936.744
230.179.666.078,69.217.392.657
230.346.332.744,69.205.192.398
230.512.999.411,691.917.867.483
230.679.666.078,69.177.058.193
230.846.332.744,691.608.805.444
231.012.999.411,69.143.121.875
231.179.666.078,691.236.476.266
231.346.332.744,691.023.238.289
231.512.999.411,690.790.203.592
231.679.666.078,690.536.141.727
231.846.332.744,690.259.924.359
232.012.999.411,689.960.554.988
232.179.666.078,689.637.196.412
232.346.332.744,689.289.195.417
232.512.999.411,68.891.610.416
232.679.666.078,688.517.697.864
232.846.332.744,688.093.988.477
233.012.999.411,68.764.523.406
233.179.666.078,687.171.943.774
233.346.332.744,686.674.878.401
233.512.999.411,686.155.046.464
233.679.666.078,685.613.696.084
233.846.332.744,685.052.302.796
234.012.999.411,684.472.553.633
234.179.666.078,683.876.327.868
234.346.332.744,683.265.674.829
234.512.999.411,682.642.789.282
234.679.666.078,682.009.984.905
234.846.332.744,681.369.666.377
235.012.999.411,680.724.300.644
235.179.666.078,680.076.387.896
235.346.332.744,679.428.432.777
235.512.999.411,67.878.291.633
235.679.666.078,678.142.269.127
235.846.332.744,677.508.845.984
236.012.999.411,67.688.490.262
236.179.666.078,676.272.574.521
236.346.332.744,675.673.858.244
236.512.999.411,675.090.595.292
236.679.666.078,67.452.445.862
236.846.332.744,673.976.941.789
237.012.999.411,673.449.350.669
237.179.666.078,672.942.797.574
237.346.332.744,672.458.197.606
237.512.999.411,671.996.266.969
237.679.666.078,671.557.522.931
237.846.332.744,671.142.285.112
238.012.999.411,670.750.677.702
238.179.666.078,670.382.632.235
238.346.332.744,670.037.890.496
238.512.999.411,669.716.007.172
238.679.666.078,669.416.351.838
238.846.332.744,669.138.109.912
239.012.999.411,668.880.282.209
239.179.666.078,668.641.682.816
239.346.332.744,668.420.934.983
239.512.999.411,668.216.464.846
239.679.666.078,668.026.492.813
239.846.332.744,667.849.022.541
240.012.999.411,66.768.182.747
240.179.666.078,667.522.434.995
240.346.332.744,667.368.108.402
240.512.999.411,667.215.826.794
240.679.666.078,667.062.263.312
240.846.332.744,666.903.762.017
241.012.999.411,666.736.313.916
241.179.666.078,666.555.532.637
241.346.332.744,666.356.630.376
241.512.999.411,666.134.394.774
241.679.666.078,665.883.167.427
241.846.332.744,665.596.824.807
242.012.999.411,665.268.762.369
242.179.666.078,664.891.882.661
242.346.332.744,664.458.588.239
242.512.999.411,663.960.780.195
242.679.666.078,663.389.863.057
242.846.332.744,662.736.756.792
243.012.999.411,661.991.916.555
243.179.666.078,661.145.360.775
243.346.332.744,660.186.708.026
243.512.999.411,659.105.223.052
243.679.666.078,657.889.872.151
243.846.332.744,656.529.387.988
244.012.999.411,655.012.343.735
244.179.666.078,653.327.236.263
244.346.332.744,651.462.577.939
244.512.999.411,649.406.996.381
244.679.666.078,647.149.341.348
244.846.332.744,644.678.797.751
245.012.999.411,641.985.003.604
245.179.666.078,639.058.171.566
245.346.332.744,635.889.212.565
245.512.999.411,632.469.859.888
245.679.666.078,628.792.791.995
245.846.332.744,62.485.175.225
246.012.999.411,620.641.663.705
246.179.666.078,61.615.873.707
246.346.332.744,611.400.570.002
246.512.999.411,606.366.235.928
246.679.666.078,601.056.360.679
246.846.332.744,595.473.185.369
247.012.999.411,589.620.614.093
247.179.666.078,583.504.245.221
247.346.332.744,577.131.385.292
247.512.999.411,570.511.044.761
247.679.666.078,563.653.915.106
247.846.332.744,556.572.327.118
248.012.999.411,549.280.190.464
248.179.666.078,541.792.914.936
248.346.332.744,534.127.314.074
248.512.999.411,526.301.492.174
248.679.666.078,518.334.715.923
248.846.332.744,510.247.272.207
249.012.999.411,502.060.313.824
249.179.666.078,493.795.695.065
249.346.332.744,485.475.799.261
249.512.999.411,477.123.360.549
249.679.666.078,46.876.128.216
249.846.332.744,460.412.453.609
250.012.999.411,452.099.569.132
250.179.666.078,443.844.949.694
250.346.332.744,435.670.370.799
250.512.999.411,427.596.898.207
250.679.666.078,419.644.733.503
250.846.332.744,411.833.071.286
251.012.999.411,404.179.969.505
251.179.666.078,396.702.234.257
251.346.332.744,389.415.320.081
251.512.999.411,382.333.246.548
251.679.666.078,375.468.531.634
251.846.332.744,368.832.142.159
252.012.999.411,362.433.461.234
252.179.666.078,356.280.272.485
252.346.332.744,350.378.760.539
252.512.999.411,344.733.527.053
252.679.666.078,339.347.621.411
252.846.332.744,334.222.584.987
253.012.999.411,329.358.507.807
253.179.666.078,324.754.096.278
253.346.332.744,320.406.750.615
253.512.999.411,316.312.650.514
253.679.666.078,312.466.847.635
253.846.332.744,308.863.363.434
254.012.999.411,305.495.290.918
254.179.666.078,302.354.898.966
254.346.332.744,299.433.737.905
254.512.999.411,296.722.745.126
254.679.666.078,294.212.349.623
254.846.332.744,29.189.257.444
255.012.999.411,289.753.136.127
255.179.666.078,287.783.540.412
255.346.332.744,285.973.173.437
255.512.999.411,284.311.387.977
255.679.666.078,282.787.584.216
255.846.332.744,281.391.284.733
256.012.999.411,280.112.203.434
256.179.666.078,278.940.308.298
256.346.332.744,27.786.587.783
256.512.999.411,276.879.551.218
256.679.666.078,275.972.372.247
256.846.332.744,275.135.827.047
257.012.999.411,274.361.875.832
257.179.666.078,273.642.978.786
257.346.332.744,272.972.116.298
257.512.999.411,272.342.803.752
257.679.666.078,271.749.101.117
257.846.332.744,271.185.617.559
258.012.999.411,270.647.511.332
258.179.666.078,270.130.485.193
258.346.332.744,269.630.777.598
258.512.999.411,269.145.149.935
258.679.666.078,268.670.870.052
